Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
393¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":45,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Program
394¿VariableDeclarator¿¿679¿http¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
395¿CallExpression¿¿679¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
396¿Identifier¿¿679¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
397¿Literal¿string¿679¿¿'http'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
398¿VariableDeclarator¿¿679¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
399¿CallExpression¿¿679¿¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
400¿Identifier¿¿679¿require¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
401¿Literal¿string¿679¿¿'fs'¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
402¿VariableDeclarator¿¿679¿url¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
403¿CallExpression¿¿679¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
404¿Identifier¿¿679¿require¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
405¿Literal¿string¿679¿¿'url'¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
406¿VariableDeclarator¿¿679¿mime¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
407¿CallExpression¿¿679¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
408¿Identifier¿¿679¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
409¿Literal¿string¿679¿¿'mime'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
410¿VariableDeclarator¿¿679¿program¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
411¿CallExpression¿¿679¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
412¿Identifier¿¿679¿require¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
413¿Literal¿string¿679¿¿'commander'¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
414¿VariableDeclarator¿¿679¿path¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
415¿CallExpression¿¿679¿¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
416¿Identifier¿¿679¿require¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
417¿Literal¿string¿679¿¿'path'¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
418¿VariableDeclarator¿¿679¿v38¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
419¿CallExpression¿¿679¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
420¿MemberExpression¿¿679¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿MemberExpression
421¿Identifier¿¿679¿path¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
422¿Identifier¿¿679¿join¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
423¿Identifier¿¿679¿__dirname¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Identifier
424¿Literal¿string¿679¿¿'package.json'¿¿{"start":{"line":9,"column":40},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿Literal
425¿VariableDeclarator¿¿679¿pkg¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿VariableDeclarator
426¿CallExpression¿¿679¿¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/tinyserver2_0.5.2/index.js"}¿¿CallExpression
