Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2180¿Program¿¿-1¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":275,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Program
2181¿VariableDeclarator¿¿3822¿express¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿VariableDeclarator
2182¿CallExpression¿¿3822¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿CallExpression
2183¿Identifier¿¿3822¿require¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Identifier
2184¿Literal¿string¿3822¿¿'express'¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Literal
2185¿VariableDeclarator¿¿3822¿compression¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿VariableDeclarator
2186¿CallExpression¿¿3822¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿CallExpression
2187¿Identifier¿¿3822¿require¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Identifier
2188¿Literal¿string¿3822¿¿'compression'¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Literal
2189¿VariableDeclarator¿¿3822¿matchPath¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿VariableDeclarator
2190¿CallExpression¿¿3822¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿CallExpression
2191¿Identifier¿¿3822¿require¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Identifier
2192¿Literal¿string¿3822¿¿'./matchPath'¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿Literal
2193¿VariableDeclarator¿¿3822¿v233¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/zero_1.0.6/index.js"}¿¿VariableDeclarator
