Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
456¿Program¿¿-1¿¿¿¿{"start":{"line":32,"column":0},"end":{"line":94,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿Program
457¿VariableDeclarator¿¿769¿fs¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿VariableDeclarator
458¿CallExpression¿¿769¿¿¿¿{"start":{"line":32,"column":11},"end":{"line":32,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿CallExpression
459¿Identifier¿¿769¿require¿¿¿{"start":{"line":32,"column":11},"end":{"line":32,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿Identifier
460¿Literal¿string¿769¿¿'node:fs'¿¿{"start":{"line":32,"column":19},"end":{"line":32,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿Literal
461¿VariableDeclarator¿¿769¿v39¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿VariableDeclarator
462¿CallExpression¿¿769¿¿¿¿{"start":{"line":33,"column":18},"end":{"line":33,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿CallExpression
463¿Identifier¿¿769¿require¿¿¿{"start":{"line":33,"column":18},"end":{"line":33,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿Identifier
464¿Literal¿string¿769¿¿'node:child_process'¿¿{"start":{"line":33,"column":26},"end":{"line":33,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿Literal
465¿VariableDeclarator¿¿769¿spawn¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿VariableDeclarator
466¿MemberExpression¿¿769¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/imfile-desktop/afterPackHook.js"}¿¿MemberExpression
