Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
567¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Program
568¿ExpressionStatement¿¿951¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿ExpressionStatement
569¿Literal¿string¿951¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Literal
570¿VariableDeclarator¿¿951¿v37¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿VariableDeclarator
571¿CallExpression¿¿951¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿CallExpression
572¿Identifier¿¿951¿require¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Identifier
573¿Literal¿string¿951¿¿'shelljs/global'¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Literal
574¿ExpressionStatement¿¿951¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿ExpressionStatement
575¿Identifier¿¿951¿v37¿¿¿¿¿Identifier
576¿VariableDeclarator¿¿951¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿VariableDeclarator
577¿CallExpression¿¿951¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿CallExpression
578¿Identifier¿¿951¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Identifier
579¿Literal¿string¿951¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Literal
580¿VariableDeclarator¿¿951¿os¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿VariableDeclarator
581¿CallExpression¿¿951¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿CallExpression
582¿Identifier¿¿951¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/aaptjs_1.3.1/aaptjs_1.3.1.js"}¿¿Identifier
