Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
643¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":40,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Program
644¿VariableDeclarator¿¿1122¿exec¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
645¿CallExpression¿¿1122¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
646¿Identifier¿¿1122¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
647¿Literal¿string¿1122¿¿'./exec'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
648¿VariableDeclarator¿¿1122¿v78¿¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
649¿MemberExpression¿¿1122¿¿¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
650¿Identifier¿¿1122¿module¿¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
651¿Identifier¿¿1122¿exports¿¿¿{"start":{"line":2,"column":35},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
652¿VariableDeclarator¿¿1122¿v144¿¿¿{"start":{"line":2,"column":28},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
653¿ArrowFunctionExpression¿¿1122¿¿¿¿{"start":{"line":2,"column":65},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
