Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
515¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":47,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿Program
516¿ExpressionStatement¿¿886¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿ExpressionStatement
517¿Literal¿string¿886¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿Literal
518¿VariableDeclarator¿¿886¿v80¿¿¿{"start":{"line":8,"column":1},"end":{"line":36,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿VariableDeclarator
519¿FunctionExpression¿¿886¿installDryRunShim¿¿¿{"start":{"line":8,"column":1},"end":{"line":36,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿FunctionExpression
520¿VariableDeclarator¿¿888¿Module¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿VariableDeclarator
521¿CallExpression¿¿888¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿CallExpression
522¿Identifier¿¿888¿require¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿Identifier
523¿Literal¿string¿888¿¿'module'¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿Literal
524¿VariableDeclarator¿¿888¿v52¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/kubectl_cli.js"}¿¿VariableDeclarator
