Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
369¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":38,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Program
370¿ExpressionStatement¿¿634¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿ExpressionStatement
371¿Literal¿string¿634¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Literal
372¿VariableDeclarator¿¿634¿http¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿VariableDeclarator
373¿CallExpression¿¿634¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿CallExpression
374¿Identifier¿¿634¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Identifier
375¿Literal¿string¿634¿¿'http'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Literal
376¿VariableDeclarator¿¿634¿url¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿VariableDeclarator
377¿CallExpression¿¿634¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿CallExpression
378¿Identifier¿¿634¿require¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Identifier
379¿Literal¿string¿634¿¿'url'¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Literal
380¿VariableDeclarator¿¿634¿path¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿VariableDeclarator
381¿CallExpression¿¿634¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿CallExpression
382¿Identifier¿¿634¿require¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Identifier
383¿Literal¿string¿634¿¿'path'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Literal
384¿VariableDeclarator¿¿634¿v32¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿VariableDeclarator
385¿CallExpression¿¿634¿¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿CallExpression
386¿Identifier¿¿634¿require¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Identifier
387¿Literal¿string¿634¿¿'child_process'¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Literal
388¿VariableDeclarator¿¿634¿exec¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿VariableDeclarator
389¿MemberExpression¿¿634¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿MemberExpression
390¿Identifier¿¿634¿v32¿¿¿¿¿Identifier
391¿Identifier¿¿634¿exec¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Identifier
392¿VariableDeclarator¿¿634¿mockRun¿¿¿{"start":{"line":13,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿VariableDeclarator
393¿FunctionExpression¿¿634¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿FunctionExpression
394¿Identifier¿¿0¿cmd¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/latex_builder_http.js"}¿¿Identifier
