Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
774¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":89,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Program
775¿ExpressionStatement¿¿1345¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿ExpressionStatement
776¿Literal¿string¿1345¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
777¿VariableDeclarator¿¿1345¿v81¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
778¿ObjectExpression¿¿1345¿¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿ObjectExpression
779¿Property¿¿1345¿¿¿¿{"start":{"line":2,"column":47},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Property
780¿Identifier¿¿1345¿value¿¿¿{"start":{"line":2,"column":47},"end":{"line":2,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
781¿Literal¿boolean¿1345¿¿true¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Literal
782¿VariableDeclarator¿¿1345¿v82¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿VariableDeclarator
783¿CallExpression¿¿1345¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿CallExpression
784¿MemberExpression¿¿1345¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿MemberExpression
785¿Identifier¿¿1345¿Object¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
786¿Identifier¿¿1345¿defineProperty¿¿¿{"start":{"line":2,"column":7},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/devcert_index/index.js"}¿¿Identifier
