Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
437¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":64,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Program
438¿VariableDeclarator¿¿744¿childProcess¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
439¿CallExpression¿¿744¿¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
440¿Identifier¿¿744¿require¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
441¿Literal¿string¿744¿¿'child_process'¿¿{"start":{"line":1,"column":29},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
442¿VariableDeclarator¿¿744¿dargs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
443¿CallExpression¿¿744¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
444¿Identifier¿¿744¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
445¿Literal¿string¿744¿¿'dargs'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
446¿VariableDeclarator¿¿744¿PluginError¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
447¿CallExpression¿¿744¿¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
448¿Identifier¿¿744¿require¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
449¿Literal¿string¿744¿¿'plugin-error'¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
450¿VariableDeclarator¿¿744¿TapParser¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
451¿CallExpression¿¿744¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
452¿Identifier¿¿744¿require¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
453¿Literal¿string¿744¿¿'tap-parser'¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
454¿VariableDeclarator¿¿744¿through¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
455¿CallExpression¿¿744¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
456¿Identifier¿¿744¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
457¿Literal¿string¿744¿¿'through2'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
458¿VariableDeclarator¿¿744¿pluginName¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
459¿Literal¿string¿744¿¿'gulp-tape'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
460¿VariableDeclarator¿¿744¿tapeBinaryFilepath¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
461¿CallExpression¿¿744¿¿¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
462¿MemberExpression¿¿744¿¿¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿MemberExpression
463¿Identifier¿¿744¿require¿¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
464¿Identifier¿¿744¿resolve¿¿¿{"start":{"line":8,"column":35},"end":{"line":8,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
465¿Literal¿string¿744¿¿'.bin/tape'¿¿{"start":{"line":8,"column":43},"end":{"line":8,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Literal
466¿VariableDeclarator¿exported¿744¿gulpTape¿¿¿{"start":{"line":10,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
467¿FunctionExpression¿¿744¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿FunctionExpression
468¿Identifier¿¿0¿options¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
469¿VariableDeclarator¿¿746¿v38¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
470¿ObjectExpression¿¿746¿¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿ObjectExpression
471¿ExpressionStatement¿¿746¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿ExpressionStatement
472¿AssignmentExpression¿=¿746¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿AssignmentExpression
473¿Identifier¿¿746¿options¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
474¿LogicalExpression¿||¿746¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿LogicalExpression
475¿Identifier¿¿746¿options¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
476¿Identifier¿¿746¿v38¿¿¿¿¿Identifier
477¿VariableDeclarator¿¿746¿files¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
478¿ArrayExpression¿¿746¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿ArrayExpression
479¿VariableDeclarator¿¿746¿transform¿¿¿{"start":{"line":15,"column":2},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
480¿FunctionExpression¿¿746¿anon¿¿¿{"start":{"line":15,"column":2},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿FunctionExpression
481¿Identifier¿¿0¿file¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
482¿Identifier¿¿0¿encoding¿¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
483¿Identifier¿¿0¿callback¿¿¿{"start":{"line":15,"column":38},"end":{"line":15,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
484¿VariableDeclarator¿¿748¿v39¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿VariableDeclarator
485¿CallExpression¿¿748¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿CallExpression
486¿MemberExpression¿¿748¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿MemberExpression
487¿Identifier¿¿748¿file¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
488¿Identifier¿¿748¿isNull¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿Identifier
489¿IfStatement¿¿748¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":19,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/gulp-tape/index.js"}¿¿IfStatement
490¿Identifier¿¿748¿v39¿¿¿¿¿Identifier
