Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
321¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Program
322¿VariableDeclarator¿¿550¿child_process¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
323¿CallExpression¿¿550¿¿¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿CallExpression
324¿Identifier¿¿550¿require¿¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
325¿Literal¿string¿550¿¿'child_process'¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Literal
326¿VariableDeclarator¿¿550¿obj2StrParams¿¿¿{"start":{"line":8,"column":4},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
327¿FunctionExpression¿¿550¿anon¿¿¿{"start":{"line":8,"column":20},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿FunctionExpression
328¿Identifier¿¿0¿obj¿¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
329¿VariableDeclarator¿¿552¿param¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
330¿ArrayExpression¿¿552¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿ArrayExpression
331¿VariableDeclarator¿¿552¿prop¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
332¿ForInStatement¿¿552¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿ForInStatement
333¿Identifier¿¿552¿prop¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
334¿Identifier¿¿552¿obj¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
335¿VariableDeclarator¿¿552¿v31¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
336¿BinaryExpression¿+¿552¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿BinaryExpression
337¿Identifier¿¿552¿prop¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
338¿Literal¿string¿552¿¿'='¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Literal
339¿VariableDeclarator¿¿552¿v32¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
340¿MemberExpression¿computed¿552¿¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿MemberExpression
341¿Identifier¿¿552¿obj¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
342¿Identifier¿¿552¿prop¿¿¿{"start":{"line":12,"column":51},"end":{"line":12,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
343¿VariableDeclarator¿¿552¿v33¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
344¿CallExpression¿¿552¿¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿CallExpression
345¿Identifier¿¿552¿encodeURIComponent¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿Identifier
346¿Identifier¿¿552¿v32¿¿¿¿¿Identifier
347¿VariableDeclarator¿¿552¿v34¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
348¿BinaryExpression¿+¿552¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿BinaryExpression
349¿Identifier¿¿552¿v31¿¿¿¿¿Identifier
350¿Identifier¿¿552¿v33¿¿¿¿¿Identifier
351¿VariableDeclarator¿¿552¿v35¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mock2easy/getJsonByCurl.js"}¿¿VariableDeclarator
