Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2012¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":255,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿Program
2013¿ExpressionStatement¿¿3514¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿ExpressionStatement
2014¿Literal¿string¿3514¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿Literal
2015¿VariableDeclarator¿¿3514¿v184¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿VariableDeclarator
2016¿CallExpression¿¿3514¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿CallExpression
2017¿Identifier¿¿3514¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿Identifier
2018¿Literal¿string¿3514¿¿'child_process'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿Literal
2019¿VariableDeclarator¿¿3514¿v185¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿VariableDeclarator
2020¿CallExpression¿¿3514¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿CallExpression
2021¿Identifier¿¿3514¿require¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿Identifier
2022¿Literal¿string¿3514¿¿'fs'¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/opened/index.js"}¿¿Literal
