Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1594¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":225,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Program
1595¿VariableDeclarator¿¿2777¿v182¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1596¿CallExpression¿¿2777¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿CallExpression
1597¿Identifier¿¿2777¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1598¿Literal¿string¿2777¿¿'child_process'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Literal
1599¿VariableDeclarator¿¿2777¿exec¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1600¿MemberExpression¿¿2777¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1601¿Identifier¿¿2777¿v182¿¿¿¿¿Identifier
1602¿Identifier¿¿2777¿exec¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1603¿VariableDeclarator¿¿2777¿_¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1604¿CallExpression¿¿2777¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿CallExpression
1605¿Identifier¿¿2777¿require¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1606¿Literal¿string¿2777¿¿'underscore'¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Literal
1607¿VariableDeclarator¿¿2777¿moving_average¿¿¿{"start":{"line":13,"column":0},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1608¿FunctionExpression¿¿2777¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿FunctionExpression
1609¿Identifier¿¿0¿array¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1610¿Identifier¿¿0¿n¿¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1611¿VariableDeclarator¿¿2779¿nums¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1612¿ArrayExpression¿¿2779¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ArrayExpression
1613¿ForInStatement¿¿2779¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":27,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿ForInStatement
1614¿Identifier¿¿2779¿i¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1615¿Identifier¿¿2779¿array¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1616¿VariableDeclarator¿¿2779¿v183¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1617¿MemberExpression¿computed¿2779¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1618¿Identifier¿¿2779¿array¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1619¿Identifier¿¿2779¿i¿¿¿{"start":{"line":18,"column":25},"end":{"line":18,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1620¿VariableDeclarator¿¿2779¿v184¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿VariableDeclarator
1621¿CallExpression¿¿2779¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿CallExpression
1622¿MemberExpression¿¿2779¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿MemberExpression
1623¿Identifier¿¿2779¿_¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1624¿Identifier¿¿2779¿isNumber¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿Identifier
1625¿Identifier¿¿2779¿v183¿¿¿¿¿Identifier
1626¿IfStatement¿¿2779¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":26,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/plotter_0.5.0/plotter.js"}¿¿IfStatement
1627¿Identifier¿¿2779¿v184¿¿¿¿¿Identifier
