Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
726¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":87,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Program
727¿VariableDeclarator¿¿1249¿GitHubApi¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
728¿CallExpression¿¿1249¿¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
729¿Identifier¿¿1249¿require¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
730¿Literal¿string¿1249¿¿'github'¿¿{"start":{"line":1,"column":26},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
731¿VariableDeclarator¿¿1249¿Menu¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
732¿CallExpression¿¿1249¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
733¿Identifier¿¿1249¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
734¿Literal¿string¿1249¿¿'terminal-menu'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
735¿VariableDeclarator¿¿1249¿v75¿¿¿{"start":{"line":3,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
736¿CallExpression¿¿1249¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
737¿Identifier¿¿1249¿require¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
738¿Literal¿string¿1249¿¿'child_process'¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
739¿VariableDeclarator¿¿1249¿execSync¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
740¿MemberExpression¿¿1249¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
741¿Identifier¿¿1249¿v75¿¿¿¿¿Identifier
742¿Identifier¿¿1249¿execSync¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
743¿VariableDeclarator¿¿1249¿parse¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
744¿CallExpression¿¿1249¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
745¿Identifier¿¿1249¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
746¿Literal¿string¿1249¿¿'parse-github-repo-url'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
747¿VariableDeclarator¿exported¿1249¿Pullit¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
748¿FunctionExpression¿¿1249¿Pullit¿¿¿{"start":{"line":9,"column":13},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
749¿VariableDeclarator¿¿1251¿v76¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
750¿CallExpression¿¿1251¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
751¿MemberExpression¿¿1251¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
752¿ThisExpression¿¿1251¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
753¿Identifier¿¿1251¿init¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
754¿ExpressionStatement¿¿1251¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
755¿Identifier¿¿1251¿v76¿¿¿¿¿Identifier
756¿VariableDeclarator¿¿1251¿v77¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
757¿ObjectExpression¿¿1251¿¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ObjectExpression
758¿ExpressionStatement¿¿1251¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
759¿AssignmentExpression¿=¿1251¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
760¿MemberExpression¿¿1251¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
761¿ThisExpression¿¿1251¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
762¿Identifier¿¿1251¿github¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
763¿NewExpression¿¿1251¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿NewExpression
764¿Identifier¿¿1251¿GitHubApi¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
765¿Identifier¿¿1251¿v77¿¿¿¿¿Identifier
766¿BlockStatement¿¿1251¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿BlockStatement
767¿VariableDeclarator¿¿1249¿init¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
768¿FunctionExpression¿¿1249¿init¿¿¿{"start":{"line":14,"column":6},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
769¿VariableDeclarator¿¿1253¿v78¿¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
770¿TemplateLiteral¿¿1253¿¿¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿TemplateLiteral
771¿VariableDeclarator¿¿1253¿v79¿¿¿{"start":{"line":15,"column":63},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
772¿ObjectExpression¿¿1253¿¿¿¿{"start":{"line":15,"column":63},"end":{"line":17,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ObjectExpression
773¿Property¿¿1253¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Property
774¿Identifier¿¿1253¿encoding¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
775¿Literal¿string¿1253¿¿'utf8'¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
776¿VariableDeclarator¿¿1253¿v80¿¿¿{"start":{"line":15,"column":16},"end":{"line":17,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
777¿CallExpression¿¿1253¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":17,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
778¿Identifier¿¿1253¿execSync¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
779¿Identifier¿¿1253¿v78¿¿¿¿¿Identifier
780¿Identifier¿¿1253¿v79¿¿¿¿¿Identifier
781¿VariableDeclarator¿¿1253¿url¿¿¿{"start":{"line":15,"column":10},"end":{"line":17,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
782¿CallExpression¿¿1253¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":17,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
783¿MemberExpression¿¿1253¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":17,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
784¿Identifier¿¿1253¿v80¿¿¿¿¿Identifier
785¿Identifier¿¿1253¿trim¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
786¿VariableDeclarator¿¿1253¿v81¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
787¿CallExpression¿¿1253¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
788¿MemberExpression¿¿1253¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
789¿ThisExpression¿¿1253¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
790¿Identifier¿¿1253¿parsedGithubUrl¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
791¿Identifier¿¿1253¿url¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
792¿ReturnStatement¿¿1253¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ReturnStatement
793¿Identifier¿¿1253¿v81¿¿¿¿¿Identifier
794¿BlockStatement¿¿1253¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿BlockStatement
795¿ExpressionStatement¿¿1249¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
796¿AssignmentExpression¿=¿1249¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿AssignmentExpression
797¿MemberExpression¿¿1249¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
798¿Identifier¿¿1249¿Pullit¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
799¿Identifier¿¿1249¿init¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
800¿Identifier¿¿1249¿init¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
801¿VariableDeclarator¿¿1249¿parsedGithubUrl¿¿¿{"start":{"line":8,"column":0},"end":{"line":85,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
802¿FunctionExpression¿¿1249¿parsedGithubUrl¿¿¿{"start":{"line":22,"column":17},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
803¿Identifier¿¿0¿url¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
804¿VariableDeclarator¿¿1255¿parsedUrl¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1255¿¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
806¿Identifier¿¿1255¿parse¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
807¿Identifier¿¿1255¿url¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
808¿VariableDeclarator¿¿1255¿v82¿¿¿{"start":{"line":25,"column":5},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
809¿MemberExpression¿computed¿1255¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
810¿Identifier¿¿1255¿parsedUrl¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
811¿Literal¿number¿1255¿¿0¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
812¿VariableDeclarator¿¿1255¿v83¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
813¿MemberExpression¿computed¿1255¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
814¿Identifier¿¿1255¿parsedUrl¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Identifier
815¿Literal¿number¿1255¿¿1¿¿{"start":{"line":25,"column":56},"end":{"line":25,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿Literal
816¿ExpressionStatement¿¿1255¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pullit/index.js"}¿¿ExpressionStatement
