Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
810¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":107,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Program
811¿VariableDeclarator¿¿1409¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
812¿CallExpression¿¿1409¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
813¿Identifier¿¿1409¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
814¿Literal¿string¿1409¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
815¿VariableDeclarator¿¿1409¿app¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
816¿CallExpression¿¿1409¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
817¿Identifier¿¿1409¿express¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
818¿VariableDeclarator¿¿1409¿port¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
819¿Literal¿number¿1409¿¿9000¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
820¿VariableDeclarator¿¿1409¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
821¿CallExpression¿¿1409¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
822¿Identifier¿¿1409¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
823¿Literal¿string¿1409¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
824¿VariableDeclarator¿¿1409¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1409¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
826¿Identifier¿¿1409¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
827¿Literal¿string¿1409¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
828¿VariableDeclarator¿¿1409¿fileUpload¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
829¿CallExpression¿¿1409¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
830¿Identifier¿¿1409¿require¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
831¿Literal¿string¿1409¿¿'express-fileupload'¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
832¿VariableDeclarator¿¿1409¿v86¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1409¿¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
834¿Identifier¿¿1409¿require¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
835¿Literal¿string¿1409¿¿'child_process'¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
836¿VariableDeclarator¿¿1409¿execSync¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
837¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
838¿Identifier¿¿1409¿v86¿¿¿¿¿Identifier
839¿Identifier¿¿1409¿execSync¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
840¿VariableDeclarator¿¿1409¿v87¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
841¿CallExpression¿¿1409¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
842¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
843¿Identifier¿¿1409¿express¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
844¿Identifier¿¿1409¿static¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
845¿Literal¿string¿1409¿¿'www'¿¿{"start":{"line":10,"column":23},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
846¿VariableDeclarator¿¿1409¿v88¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
847¿CallExpression¿¿1409¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
848¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
849¿Identifier¿¿1409¿app¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
850¿Identifier¿¿1409¿use¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
851¿Identifier¿¿1409¿v87¿¿¿¿¿Identifier
852¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
853¿Identifier¿¿1409¿v88¿¿¿¿¿Identifier
854¿VariableDeclarator¿¿1409¿v89¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
855¿BinaryExpression¿*¿1409¿¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BinaryExpression
856¿Literal¿number¿1409¿¿25¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
857¿Literal¿number¿1409¿¿1024¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
858¿VariableDeclarator¿¿1409¿v90¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
859¿BinaryExpression¿*¿1409¿¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BinaryExpression
860¿Identifier¿¿1409¿v89¿¿¿¿¿Identifier
861¿Literal¿number¿1409¿¿1024¿¿{"start":{"line":12,"column":36},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
