Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
250¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":64,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿Program
251¿VariableDeclarator¿¿408¿mysql¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿VariableDeclarator
252¿CallExpression¿¿408¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿CallExpression
253¿Identifier¿¿408¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿Identifier
254¿Literal¿string¿408¿¿'mysql'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿Literal
255¿VariableDeclarator¿¿408¿getUser¿¿¿{"start":{"line":4,"column":0},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿VariableDeclarator
256¿FunctionExpression¿¿408¿anon¿¿¿{"start":{"line":4,"column":0},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿FunctionExpression
257¿Identifier¿¿0¿username¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿Identifier
258¿VariableDeclarator¿¿410¿query¿¿¿{"start":{"line":6,"column":10},"end":{"line":6,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿VariableDeclarator
259¿TemplateLiteral¿¿410¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/SymCodeGoat/vulnerable.js"}¿¿TemplateLiteral
