Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
138¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿Program
139¿VariableDeclarator¿¿231¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿VariableDeclarator
140¿CallExpression¿¿231¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿CallExpression
141¿Identifier¿¿231¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿Identifier
142¿Literal¿string¿231¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿Literal
143¿VariableDeclarator¿¿231¿router¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿VariableDeclarator
144¿CallExpression¿¿231¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿CallExpression
145¿MemberExpression¿¿231¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿MemberExpression
146¿Identifier¿¿231¿express¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿Identifier
147¿Identifier¿¿231¿Router¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿Identifier
148¿VariableDeclarator¿¿231¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿VariableDeclarator
149¿CallExpression¿¿231¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/Workshop-App-Demo-Goof/path-traversal.js"}¿¿CallExpression
