Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
668¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":85,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Program
669¿VariableDeclarator¿¿1169¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
670¿CallExpression¿¿1169¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
671¿Identifier¿¿1169¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
672¿Literal¿string¿1169¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
673¿VariableDeclarator¿¿1169¿mongoose¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
674¿CallExpression¿¿1169¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
675¿Identifier¿¿1169¿require¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
676¿Literal¿string¿1169¿¿'mongoose'¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
677¿VariableDeclarator¿¿1169¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
678¿CallExpression¿¿1169¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿CallExpression
679¿Identifier¿¿1169¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Identifier
680¿Literal¿string¿1169¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿Literal
681¿VariableDeclarator¿¿1169¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/rctf-server/apiRoutes.js"}¿¿VariableDeclarator
