Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
414¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":43,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Program
415¿VariableDeclarator¿¿711¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
416¿CallExpression¿¿711¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
417¿Identifier¿¿711¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
418¿Literal¿string¿711¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
419¿VariableDeclarator¿¿711¿v42¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
420¿CallExpression¿¿711¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
421¿Identifier¿¿711¿require¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
422¿Literal¿string¿711¿¿'ws'¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
423¿VariableDeclarator¿¿711¿WebSocketServer¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
424¿MemberExpression¿¿711¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿MemberExpression
425¿Identifier¿¿711¿v42¿¿¿¿¿Identifier
426¿Identifier¿¿711¿Server¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
427¿VariableDeclarator¿¿711¿v43¿¿¿{"start":{"line":3,"column":31},"end":{"line":6,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
428¿ObjectExpression¿¿711¿¿¿¿{"start":{"line":3,"column":31},"end":{"line":6,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿ObjectExpression
429¿Property¿¿711¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Property
430¿Identifier¿¿711¿host¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
431¿Literal¿string¿711¿¿'localhost'¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
432¿Property¿¿711¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Property
433¿Identifier¿¿711¿port¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
434¿Literal¿number¿711¿¿8090¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
435¿VariableDeclarator¿¿711¿wserver¿¿¿{"start":{"line":3,"column":1},"end":{"line":6,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
436¿NewExpression¿¿711¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":6,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿NewExpression
437¿Identifier¿¿711¿WebSocketServer¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
438¿Identifier¿¿711¿v43¿¿¿¿¿Identifier
439¿VariableDeclarator¿¿711¿v44¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
440¿CallExpression¿¿711¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
441¿Identifier¿¿711¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
442¿Literal¿string¿711¿¿'http'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
443¿VariableDeclarator¿¿711¿v57¿¿¿{"start":{"line":7,"column":40},"end":{"line":19,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
444¿FunctionExpression¿¿711¿anon¿¿¿{"start":{"line":7,"column":40},"end":{"line":19,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿FunctionExpression
445¿Identifier¿¿0¿req¿¿¿{"start":{"line":7,"column":49},"end":{"line":7,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
446¿Identifier¿¿0¿res¿¿¿{"start":{"line":7,"column":53},"end":{"line":7,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
447¿VariableDeclarator¿¿713¿v45¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
448¿MemberExpression¿¿713¿¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿MemberExpression
449¿Identifier¿¿713¿req¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
450¿Identifier¿¿713¿url¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
451¿VariableDeclarator¿¿713¿v46¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
452¿CallExpression¿¿713¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
