Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
306¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":34,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Program
307¿VariableDeclarator¿¿505¿v24¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
308¿CallExpression¿¿505¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿CallExpression
309¿Identifier¿¿505¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
310¿Literal¿string¿505¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Literal
311¿VariableDeclarator¿¿505¿execSync¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
312¿MemberExpression¿¿505¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿MemberExpression
313¿Identifier¿¿505¿v24¿¿¿¿¿Identifier
314¿Identifier¿¿505¿execSync¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
315¿VariableDeclarator¿¿505¿v26¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
316¿ArrowFunctionExpression¿¿505¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿ArrowFunctionExpression
317¿TryStatement¿¿507¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿TryStatement
318¿VariableDeclarator¿¿507¿v25¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
319¿CallExpression¿¿507¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿CallExpression
320¿Identifier¿¿507¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
321¿Literal¿string¿507¿¿'fuser -k 8888/tcp'¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Literal
322¿ExpressionStatement¿¿507¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿ExpressionStatement
323¿Identifier¿¿507¿v25¿¿¿¿¿Identifier
324¿BlockStatement¿¿507¿¿¿¿{"start":{"line":3,"column":6},"end":{"line":5,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿BlockStatement
325¿CatchClause¿¿507¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿CatchClause
326¿BlockStatement¿¿507¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿BlockStatement
327¿Identifier¿¿507¿e¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
328¿BlockStatement¿¿507¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":6,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿BlockStatement
329¿VariableDeclarator¿¿505¿v27¿¿¿{"start":{"line":2,"column":0},"end":{"line":6,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
330¿CallExpression¿¿505¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":6,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿CallExpression
331¿Identifier¿¿505¿afterAll¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
332¿Identifier¿¿505¿v26¿¿¿¿¿Identifier
333¿ExpressionStatement¿¿505¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":6,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿ExpressionStatement
334¿Identifier¿¿505¿v27¿¿¿¿¿Identifier
335¿VariableDeclarator¿¿505¿path¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
336¿CallExpression¿¿505¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿CallExpression
337¿Identifier¿¿505¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
338¿Literal¿string¿505¿¿'path'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Literal
339¿VariableDeclarator¿¿505¿v28¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿VariableDeclarator
340¿CallExpression¿¿505¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿CallExpression
341¿Identifier¿¿505¿require¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hftp_0.0.6/hftp.test.js"}¿¿Identifier
