Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
680¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":99,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Program
681¿ExpressionStatement¿¿1176¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿ExpressionStatement
682¿Literal¿string¿1176¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
683¿VariableDeclarator¿¿1176¿fs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
684¿CallExpression¿¿1176¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
685¿Identifier¿¿1176¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
686¿Literal¿string¿1176¿¿'fs'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
687¿VariableDeclarator¿¿1176¿url¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
688¿CallExpression¿¿1176¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
689¿Identifier¿¿1176¿require¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
690¿Literal¿string¿1176¿¿'url'¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
691¿VariableDeclarator¿¿1176¿crypto¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
692¿CallExpression¿¿1176¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
693¿Identifier¿¿1176¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
694¿Literal¿string¿1176¿¿'crypto'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Literal
695¿VariableDeclarator¿¿1176¿v75¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿VariableDeclarator
696¿CallExpression¿¿1176¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿CallExpression
697¿Identifier¿¿1176¿require¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/hostr_2.0.0/statics.js"}¿¿Identifier
