Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
217¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Program
218¿VariableDeclarator¿¿361¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿VariableDeclarator
219¿CallExpression¿¿361¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿CallExpression
220¿Identifier¿¿361¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Identifier
221¿Literal¿string¿361¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Literal
222¿VariableDeclarator¿¿361¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿VariableDeclarator
223¿CallExpression¿¿361¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿CallExpression
224¿MemberExpression¿¿361¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿MemberExpression
225¿Identifier¿¿361¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Identifier
226¿Identifier¿¿361¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Identifier
227¿Identifier¿¿361¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Identifier
228¿Literal¿string¿361¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Literal
229¿VariableDeclarator¿¿361¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿VariableDeclarator
230¿FunctionExpression¿¿361¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿FunctionExpression
231¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Identifier
232¿VariableDeclarator¿¿363¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿VariableDeclarator
233¿CallExpression¿¿363¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿CallExpression
234¿MemberExpression¿¿363¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿MemberExpression
235¿Literal¿string¿363¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Literal
236¿Identifier¿¿363¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Identifier
237¿Literal¿number¿363¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿Literal
238¿VariableDeclarator¿¿363¿v19¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿VariableDeclarator
239¿BinaryExpression¿+¿363¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/rollup-plugin-serve_0.4.2/rollup-plugin-serve.test.js"}¿¿BinaryExpression
