Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
582¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":70,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Program
583¿VariableDeclarator¿¿1018¿HTTP¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
584¿CallExpression¿¿1018¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
585¿Identifier¿¿1018¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
586¿Literal¿string¿1018¿¿'http'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
587¿VariableDeclarator¿¿1018¿FileSystem¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
588¿CallExpression¿¿1018¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
589¿Identifier¿¿1018¿require¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
590¿Literal¿string¿1018¿¿'fs'¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
591¿VariableDeclarator¿¿1018¿v66¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
592¿CallExpression¿¿1018¿¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
