Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1052¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":97,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Program
1053¿ExpressionStatement¿¿1823¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1054¿Literal¿string¿1823¿¿'use strict'¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1055¿VariableDeclarator¿¿1823¿express¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1056¿CallExpression¿¿1823¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1057¿Identifier¿¿1823¿require¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1058¿Literal¿string¿1823¿¿'express'¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1059¿VariableDeclarator¿¿1823¿fs¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1060¿CallExpression¿¿1823¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1061¿Identifier¿¿1823¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1062¿Literal¿string¿1823¿¿'fs'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1063¿VariableDeclarator¿¿1823¿path¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1064¿CallExpression¿¿1823¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1065¿Identifier¿¿1823¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1066¿Literal¿string¿1823¿¿'path'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1067¿VariableDeclarator¿¿1823¿app¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1068¿CallExpression¿¿1823¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1069¿Identifier¿¿1823¿express¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1070¿VariableDeclarator¿¿1823¿ROOT¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1071¿CallExpression¿¿1823¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1072¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1073¿Identifier¿¿1823¿path¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1074¿Identifier¿¿1823¿resolve¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1075¿Identifier¿¿1823¿__dirname¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1076¿Literal¿string¿1823¿¿'docs'¿¿{"start":{"line":11,"column":37},"end":{"line":11,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1077¿VariableDeclarator¿¿1823¿v109¿¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1078¿ObjectExpression¿¿1823¿¿¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ObjectExpression
1079¿Property¿¿1823¿¿¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Property
1080¿Identifier¿¿1823¿extended¿¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1081¿Literal¿boolean¿1823¿¿false¿¿{"start":{"line":13,"column":39},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1082¿VariableDeclarator¿¿1823¿v110¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1083¿CallExpression¿¿1823¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1084¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1085¿Identifier¿¿1823¿express¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1086¿Identifier¿¿1823¿urlencoded¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1087¿Identifier¿¿1823¿v109¿¿¿¿¿Identifier
1088¿VariableDeclarator¿¿1823¿v111¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1089¿CallExpression¿¿1823¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1090¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1091¿Identifier¿¿1823¿app¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1092¿Identifier¿¿1823¿use¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1093¿Identifier¿¿1823¿v110¿¿¿¿¿Identifier
1094¿ExpressionStatement¿¿1823¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1095¿Identifier¿¿1823¿v111¿¿¿¿¿Identifier
1096¿VariableDeclarator¿¿1823¿v112¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1097¿CallExpression¿¿1823¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1098¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1099¿Identifier¿¿1823¿express¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1100¿Identifier¿¿1823¿json¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1101¿VariableDeclarator¿¿1823¿v113¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1102¿CallExpression¿¿1823¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1103¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1104¿Identifier¿¿1823¿app¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1105¿Identifier¿¿1823¿use¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1106¿Identifier¿¿1823¿v112¿¿¿¿¿Identifier
1107¿ExpressionStatement¿¿1823¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1108¿Identifier¿¿1823¿v113¿¿¿¿¿Identifier
1109¿VariableDeclarator¿¿1823¿v121¿¿¿{"start":{"line":16,"column":8},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1110¿ArrowFunctionExpression¿¿1823¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ArrowFunctionExpression
1111¿Identifier¿¿0¿req¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1112¿Identifier¿¿0¿_res¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1113¿Identifier¿¿0¿next¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1114¿VariableDeclarator¿¿1825¿v114¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1115¿NewExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿NewExpression
1116¿Identifier¿¿1825¿Date¿¿¿{"start":{"line":17,"column":30},"end":{"line":17,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1117¿VariableDeclarator¿¿1825¿v115¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1118¿CallExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1119¿MemberExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1120¿Identifier¿¿1825¿v114¿¿¿¿¿Identifier
1121¿Identifier¿¿1825¿toISOString¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1122¿VariableDeclarator¿¿1825¿v116¿¿¿{"start":{"line":17,"column":54},"end":{"line":17,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1123¿MemberExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":54},"end":{"line":17,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1124¿Identifier¿¿1825¿req¿¿¿{"start":{"line":17,"column":54},"end":{"line":17,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1125¿Identifier¿¿1825¿method¿¿¿{"start":{"line":17,"column":58},"end":{"line":17,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1126¿VariableDeclarator¿¿1825¿v117¿¿¿{"start":{"line":17,"column":68},"end":{"line":17,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1127¿MemberExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":68},"end":{"line":17,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1128¿Identifier¿¿1825¿req¿¿¿{"start":{"line":17,"column":68},"end":{"line":17,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1129¿Identifier¿¿1825¿url¿¿¿{"start":{"line":17,"column":72},"end":{"line":17,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1130¿VariableDeclarator¿¿1825¿v118¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1131¿TemplateLiteral¿¿1825¿¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":77},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿TemplateLiteral
1132¿Identifier¿¿1825¿v115¿¿¿¿¿Identifier
1133¿Identifier¿¿1825¿v116¿¿¿¿¿Identifier
1134¿Identifier¿¿1825¿v117¿¿¿¿¿Identifier
1135¿VariableDeclarator¿¿1825¿v119¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1136¿CallExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":78},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1137¿MemberExpression¿¿1825¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1138¿Identifier¿¿1825¿console¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1139¿Identifier¿¿1825¿log¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1140¿Identifier¿¿1825¿v118¿¿¿¿¿Identifier
1141¿ExpressionStatement¿¿1825¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1142¿Identifier¿¿1825¿v119¿¿¿¿¿Identifier
1143¿VariableDeclarator¿¿1825¿v120¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1144¿CallExpression¿¿1825¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1145¿Identifier¿¿1825¿next¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1146¿ExpressionStatement¿¿1825¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1147¿Identifier¿¿1825¿v120¿¿¿¿¿Identifier
1148¿BlockStatement¿¿1825¿¿¿¿{"start":{"line":16,"column":29},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿BlockStatement
1149¿VariableDeclarator¿¿1823¿v122¿¿¿{"start":{"line":16,"column":0},"end":{"line":19,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1150¿CallExpression¿¿1823¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":19,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
