Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
840¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":88,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Program
841¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿ExpressionStatement
842¿Literal¿string¿1453¿¿'use strict'¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
843¿VariableDeclarator¿¿1453¿express¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
844¿CallExpression¿¿1453¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
845¿Identifier¿¿1453¿require¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
846¿Literal¿string¿1453¿¿'express'¿¿{"start":{"line":10,"column":24},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
847¿VariableDeclarator¿¿1453¿fs¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿VariableDeclarator
848¿CallExpression¿¿1453¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿CallExpression
849¿Identifier¿¿1453¿require¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Identifier
850¿Literal¿string¿1453¿¿'fs'¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-m3u-playlist-streamer.js"}¿¿Literal
