Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
340¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":33,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Program
341¿ExpressionStatement¿¿576¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿ExpressionStatement
342¿Literal¿string¿576¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Literal
343¿VariableDeclarator¿¿576¿http¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿VariableDeclarator
344¿CallExpression¿¿576¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿CallExpression
345¿Identifier¿¿576¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Identifier
346¿Literal¿string¿576¿¿'http'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Literal
347¿VariableDeclarator¿¿576¿fs¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿VariableDeclarator
348¿CallExpression¿¿576¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿CallExpression
349¿Identifier¿¿576¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Identifier
350¿Literal¿string¿576¿¿'fs'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Literal
351¿VariableDeclarator¿¿576¿path¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿VariableDeclarator
352¿CallExpression¿¿576¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿CallExpression
353¿Identifier¿¿576¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Identifier
354¿Literal¿string¿576¿¿'path'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Literal
355¿VariableDeclarator¿¿576¿v29¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿VariableDeclarator
356¿CallExpression¿¿576¿¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿CallExpression
357¿Identifier¿¿576¿require¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Identifier
358¿Literal¿string¿576¿¿'socket.io'¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿Literal
359¿VariableDeclarator¿¿576¿Server¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-socketio-readfile.js"}¿¿VariableDeclarator
