Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
437¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":40,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿Program
438¿ExpressionStatement¿¿753¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿ExpressionStatement
439¿Literal¿string¿753¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿Literal
440¿VariableDeclarator¿¿753¿express¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿VariableDeclarator
441¿CallExpression¿¿753¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿CallExpression
442¿Identifier¿¿753¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿Identifier
443¿Literal¿string¿753¿¿'express'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿Literal
444¿VariableDeclarator¿¿753¿multer¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿VariableDeclarator
445¿CallExpression¿¿753¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿CallExpression
446¿Identifier¿¿753¿require¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿Identifier
447¿Literal¿string¿753¿¿'multer'¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿Literal
448¿VariableDeclarator¿¿753¿tar¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿VariableDeclarator
449¿CallExpression¿¿753¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-tar-extract.js"}¿¿CallExpression
