Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
471¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":41,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Program
472¿ExpressionStatement¿¿814¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿ExpressionStatement
473¿Literal¿string¿814¿¿'use strict'¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Literal
474¿VariableDeclarator¿¿814¿express¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
475¿CallExpression¿¿814¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
476¿Identifier¿¿814¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Identifier
477¿Literal¿string¿814¿¿'express'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Literal
478¿VariableDeclarator¿¿814¿multer¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
479¿CallExpression¿¿814¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
480¿Identifier¿¿814¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Identifier
481¿Literal¿string¿814¿¿'multer'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Literal
482¿VariableDeclarator¿¿814¿unzipper¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
483¿CallExpression¿¿814¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
484¿Identifier¿¿814¿require¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Identifier
485¿Literal¿string¿814¿¿'unzipper'¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Literal
486¿VariableDeclarator¿¿814¿path¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
487¿CallExpression¿¿814¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
488¿Identifier¿¿814¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Identifier
489¿Literal¿string¿814¿¿'path'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Literal
490¿VariableDeclarator¿¿814¿fs¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
491¿CallExpression¿¿814¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
492¿Identifier¿¿814¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Identifier
493¿Literal¿string¿814¿¿'fs'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Literal
494¿VariableDeclarator¿¿814¿app¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
495¿CallExpression¿¿814¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
496¿Identifier¿¿814¿express¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿Identifier
497¿VariableDeclarator¿¿814¿v47¿¿¿{"start":{"line":10,"column":30},"end":{"line":10,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿VariableDeclarator
498¿CallExpression¿¿814¿¿¿¿{"start":{"line":10,"column":30},"end":{"line":10,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-zip-extract.js"}¿¿CallExpression
