Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
818¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":77,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Program
819¿ExpressionStatement¿¿1418¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿ExpressionStatement
820¿Literal¿string¿1418¿¿'use strict'¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Literal
821¿VariableDeclarator¿¿1418¿express¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
822¿CallExpression¿¿1418¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
823¿Identifier¿¿1418¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
824¿Literal¿string¿1418¿¿'express'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Literal
825¿VariableDeclarator¿¿1418¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
826¿CallExpression¿¿1418¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
827¿Identifier¿¿1418¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
828¿Literal¿string¿1418¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Literal
829¿VariableDeclarator¿¿1418¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
830¿CallExpression¿¿1418¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
831¿Identifier¿¿1418¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Identifier
832¿Literal¿string¿1418¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿Literal
833¿VariableDeclarator¿¿1418¿app¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿VariableDeclarator
834¿CallExpression¿¿1418¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln_express_file_browser_downloader.js"}¿¿CallExpression
