Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
132¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Program
133¿VariableDeclarator¿¿228¿v27¿¿¿{"start":{"line":1,"column":41},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿VariableDeclarator
134¿ArrowFunctionExpression¿¿228¿¿¿¿{"start":{"line":1,"column":41},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿ArrowFunctionExpression
135¿VariableDeclarator¿¿230¿v15¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿VariableDeclarator
136¿CallExpression¿¿230¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿CallExpression
137¿MemberExpression¿¿230¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿MemberExpression
138¿Identifier¿¿230¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Identifier
139¿Identifier¿¿230¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Identifier
140¿Literal¿number¿230¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Literal
141¿ExpressionStatement¿¿230¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿ExpressionStatement
142¿Identifier¿¿230¿v15¿¿¿¿¿Identifier
143¿VariableDeclarator¿¿230¿djv¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿VariableDeclarator
144¿CallExpression¿¿230¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿CallExpression
145¿Identifier¿¿230¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Identifier
146¿Literal¿string¿230¿¿'djv'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Literal
147¿VariableDeclarator¿¿230¿v16¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":11},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿VariableDeclarator
148¿ObjectExpression¿¿230¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":11},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿ObjectExpression
149¿VariableDeclarator¿¿230¿v17¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿VariableDeclarator
150¿MemberExpression¿¿230¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿MemberExpression
151¿Identifier¿¿230¿v16¿¿¿¿¿Identifier
152¿Identifier¿¿230¿polluted¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Identifier
153¿VariableDeclarator¿¿230¿v18¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿VariableDeclarator
154¿CallExpression¿¿230¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿CallExpression
155¿Identifier¿¿230¿expect¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/djv_2.0.0/djv.test.js"}¿¿Identifier
156¿Identifier¿¿230¿v17¿¿¿¿¿Identifier
