Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
159¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Program
160¿VariableDeclarator¿¿273¿v23¿¿¿{"start":{"line":1,"column":55},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿VariableDeclarator
161¿ArrowFunctionExpression¿¿273¿¿¿¿{"start":{"line":1,"column":55},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿ArrowFunctionExpression
162¿VariableDeclarator¿¿275¿v13¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿VariableDeclarator
163¿CallExpression¿¿275¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿CallExpression
164¿MemberExpression¿¿275¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿MemberExpression
165¿Identifier¿¿275¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Identifier
166¿Identifier¿¿275¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Identifier
167¿Literal¿number¿275¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Literal
168¿ExpressionStatement¿¿275¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿ExpressionStatement
