Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
170¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿Program
171¿VariableDeclarator¿¿294¿v29¿¿¿{"start":{"line":1,"column":45},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿VariableDeclarator
172¿ArrowFunctionExpression¿¿294¿¿¿¿{"start":{"line":1,"column":45},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿ArrowFunctionExpression
173¿VariableDeclarator¿¿296¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿VariableDeclarator
174¿CallExpression¿¿296¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿CallExpression
175¿MemberExpression¿¿296¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿MemberExpression
176¿Identifier¿¿296¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿Identifier
177¿Identifier¿¿296¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿Identifier
178¿Literal¿number¿296¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿Literal
179¿ExpressionStatement¿¿296¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿ExpressionStatement
180¿Identifier¿¿296¿v16¿¿¿¿¿Identifier
181¿VariableDeclarator¿¿296¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿VariableDeclarator
182¿CallExpression¿¿296¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿CallExpression
183¿Identifier¿¿296¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿Identifier
184¿Literal¿string¿296¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿Literal
185¿VariableDeclarator¿¿296¿jptr¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿VariableDeclarator
186¿CallExpression¿¿296¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/json-ptr_2.0.0/json-ptr.test.js"}¿¿CallExpression
