Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
140¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Program
141¿VariableDeclarator¿¿240¿v21¿¿¿{"start":{"line":1,"column":42},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿VariableDeclarator
142¿ArrowFunctionExpression¿¿240¿¿¿¿{"start":{"line":1,"column":42},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿ArrowFunctionExpression
143¿VariableDeclarator¿¿242¿v12¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿VariableDeclarator
144¿CallExpression¿¿242¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿CallExpression
145¿MemberExpression¿¿242¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿MemberExpression
146¿Identifier¿¿242¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Identifier
147¿Identifier¿¿242¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Identifier
148¿Literal¿number¿242¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Literal
149¿ExpressionStatement¿¿242¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿ExpressionStatement
150¿Identifier¿¿242¿v12¿¿¿¿¿Identifier
151¿VariableDeclarator¿¿242¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿VariableDeclarator
152¿CallExpression¿¿242¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿CallExpression
153¿Identifier¿¿242¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Identifier
154¿Literal¿string¿242¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Literal
155¿VariableDeclarator¿¿242¿log¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿VariableDeclarator
156¿CallExpression¿¿242¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿CallExpression
157¿Identifier¿¿242¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Identifier
158¿Literal¿string¿242¿¿'m-log'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Literal
159¿VariableDeclarator¿¿242¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿VariableDeclarator
160¿Literal¿string¿242¿¿'./m-log'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Literal
161¿ExpressionStatement¿¿242¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿ExpressionStatement
162¿AssignmentExpression¿=¿242¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿AssignmentExpression
163¿Identifier¿¿242¿file_exist¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿Identifier
164¿CallExpression¿¿242¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/m-log_0.0.1/m-log.test.js"}¿¿CallExpression
