Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
184¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Program
185¿VariableDeclarator¿¿318¿v25¿¿¿{"start":{"line":1,"column":46},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿VariableDeclarator
186¿ArrowFunctionExpression¿¿318¿¿¿¿{"start":{"line":1,"column":46},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿ArrowFunctionExpression
187¿VariableDeclarator¿¿320¿v14¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿VariableDeclarator
188¿CallExpression¿¿320¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿CallExpression
189¿MemberExpression¿¿320¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿MemberExpression
190¿Identifier¿¿320¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Identifier
191¿Identifier¿¿320¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Identifier
192¿Literal¿number¿320¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Literal
193¿ExpressionStatement¿¿320¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿ExpressionStatement
194¿Identifier¿¿320¿v14¿¿¿¿¿Identifier
195¿VariableDeclarator¿¿320¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿VariableDeclarator
196¿CallExpression¿¿320¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿CallExpression
197¿Identifier¿¿320¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Identifier
198¿Literal¿string¿320¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Literal
199¿VariableDeclarator¿¿320¿v15¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿VariableDeclarator
200¿CallExpression¿¿320¿¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿CallExpression
201¿Identifier¿¿320¿require¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mixin-pro_0.6.0/mixin-pro.test.js"}¿¿Identifier
