Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
134¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Program
135¿VariableDeclarator¿¿229¿v19¿¿¿{"start":{"line":1,"column":42},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
136¿ArrowFunctionExpression¿¿229¿¿¿¿{"start":{"line":1,"column":42},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ArrowFunctionExpression
137¿VariableDeclarator¿¿231¿v11¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
138¿CallExpression¿¿231¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
139¿MemberExpression¿¿231¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿MemberExpression
140¿Identifier¿¿231¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
141¿Identifier¿¿231¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
142¿Literal¿number¿231¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
143¿ExpressionStatement¿¿231¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ExpressionStatement
144¿Identifier¿¿231¿v11¿¿¿¿¿Identifier
145¿VariableDeclarator¿¿231¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
146¿CallExpression¿¿231¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
147¿Identifier¿¿231¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
148¿Literal¿string¿231¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
149¿VariableDeclarator¿¿231¿sea¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":44},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
150¿CallExpression¿¿231¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":44},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
151¿Identifier¿¿231¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
152¿Literal¿string¿231¿¿'modjs/lib/utils/sea'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
153¿VariableDeclarator¿¿231¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
154¿Literal¿string¿231¿¿'./modjs'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
155¿ExpressionStatement¿¿231¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ExpressionStatement
156¿AssignmentExpression¿=¿231¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿AssignmentExpression
157¿Identifier¿¿231¿file_exist¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
158¿CallExpression¿¿231¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
159¿MemberExpression¿¿231¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿MemberExpression
160¿Identifier¿¿231¿fs¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
161¿Identifier¿¿231¿existsSync¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
162¿Identifier¿¿231¿path¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
163¿VariableDeclarator¿¿231¿v12¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
164¿CallExpression¿¿231¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
165¿Identifier¿¿231¿expect¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
166¿Identifier¿¿231¿file_exist¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
167¿VariableDeclarator¿¿231¿v13¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
168¿CallExpression¿¿231¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
169¿MemberExpression¿¿231¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿MemberExpression
170¿Identifier¿¿231¿v12¿¿¿¿¿Identifier
171¿Identifier¿¿231¿toBe¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
172¿Literal¿boolean¿231¿¿false¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
173¿ExpressionStatement¿¿231¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ExpressionStatement
174¿Identifier¿¿231¿v13¿¿¿¿¿Identifier
175¿TryStatement¿¿231¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿TryStatement
176¿VariableDeclarator¿¿231¿v14¿¿¿{"start":{"line":9,"column":4},"end":{"line":11,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
177¿CallExpression¿¿231¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":11,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
178¿MemberExpression¿¿231¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿MemberExpression
179¿Identifier¿¿231¿sea¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":7},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
180¿Identifier¿¿231¿findSeajsConfig¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
181¿Literal¿string¿231¿¿'seajs.config({a: require('fs').writeFileSync('./modjs', '')})'¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":69},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
182¿ExpressionStatement¿¿231¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":11,"column":6},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ExpressionStatement
183¿Identifier¿¿231¿v14¿¿¿¿¿Identifier
184¿BlockStatement¿¿231¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿BlockStatement
185¿CatchClause¿¿231¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CatchClause
186¿BlockStatement¿¿231¿¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿BlockStatement
187¿Identifier¿¿231¿error¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
188¿ExpressionStatement¿¿231¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ExpressionStatement
189¿AssignmentExpression¿=¿231¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿AssignmentExpression
190¿Identifier¿¿231¿file_exist¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
191¿CallExpression¿¿231¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
192¿MemberExpression¿¿231¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿MemberExpression
193¿Identifier¿¿231¿fs¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
194¿Identifier¿¿231¿existsSync¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
195¿Identifier¿¿231¿path¿¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
196¿VariableDeclarator¿¿231¿v15¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
197¿CallExpression¿¿231¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
198¿Identifier¿¿231¿expect¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
199¿Identifier¿¿231¿file_exist¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
200¿VariableDeclarator¿¿231¿v16¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿VariableDeclarator
201¿CallExpression¿¿231¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿CallExpression
202¿MemberExpression¿¿231¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿MemberExpression
203¿Identifier¿¿231¿v15¿¿¿¿¿Identifier
204¿Identifier¿¿231¿toBe¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Identifier
205¿Literal¿boolean¿231¿¿true¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿Literal
206¿ExpressionStatement¿¿231¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modjs_0.4.0/modjs.test.js"}¿¿ExpressionStatement
207¿Identifier¿¿231¿v16¿¿¿¿¿Identifier
