Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
139¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿Program
140¿VariableDeclarator¿¿238¿v21¿¿¿{"start":{"line":1,"column":45},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿VariableDeclarator
141¿ArrowFunctionExpression¿¿238¿¿¿¿{"start":{"line":1,"column":45},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿ArrowFunctionExpression
142¿VariableDeclarator¿¿240¿v12¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿VariableDeclarator
143¿CallExpression¿¿240¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿CallExpression
144¿MemberExpression¿¿240¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿MemberExpression
145¿Identifier¿¿240¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿Identifier
146¿Identifier¿¿240¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿Identifier
147¿Literal¿number¿240¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿Literal
148¿ExpressionStatement¿¿240¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿ExpressionStatement
149¿Identifier¿¿240¿v12¿¿¿¿¿Identifier
150¿VariableDeclarator¿¿240¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/modulify_0.1.0/modulify.test.js"}¿¿VariableDeclarator
