Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
136¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":18,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Program
137¿VariableDeclarator¿¿233¿v19¿¿¿{"start":{"line":1,"column":46},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿VariableDeclarator
138¿ArrowFunctionExpression¿¿233¿¿¿¿{"start":{"line":1,"column":46},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿ArrowFunctionExpression
139¿VariableDeclarator¿¿235¿v11¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿VariableDeclarator
140¿CallExpression¿¿235¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿CallExpression
141¿MemberExpression¿¿235¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿MemberExpression
142¿Identifier¿¿235¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Identifier
143¿Identifier¿¿235¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Identifier
144¿Literal¿number¿235¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Literal
145¿ExpressionStatement¿¿235¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿ExpressionStatement
146¿Identifier¿¿235¿v11¿¿¿¿¿Identifier
147¿VariableDeclarator¿¿235¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿VariableDeclarator
148¿CallExpression¿¿235¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿CallExpression
149¿Identifier¿¿235¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Identifier
150¿Literal¿string¿235¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Literal
151¿VariableDeclarator¿¿235¿mp¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿VariableDeclarator
152¿CallExpression¿¿235¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿CallExpression
153¿Identifier¿¿235¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Identifier
154¿Literal¿string¿235¿¿'mol-proto'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿Literal
155¿VariableDeclarator¿¿235¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/mol-proto_0.1.3/mol-proto.test.js"}¿¿VariableDeclarator
