Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
158¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Program
159¿VariableDeclarator¿¿270¿v19¿¿¿{"start":{"line":1,"column":47},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿VariableDeclarator
160¿ArrowFunctionExpression¿¿270¿¿¿¿{"start":{"line":1,"column":47},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿ArrowFunctionExpression
161¿VariableDeclarator¿¿272¿v11¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿VariableDeclarator
162¿CallExpression¿¿272¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿CallExpression
163¿MemberExpression¿¿272¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿MemberExpression
164¿Identifier¿¿272¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
165¿Identifier¿¿272¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
166¿Literal¿number¿272¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Literal
167¿ExpressionStatement¿¿272¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿ExpressionStatement
168¿Identifier¿¿272¿v11¿¿¿¿¿Identifier
169¿VariableDeclarator¿¿272¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿VariableDeclarator
170¿CallExpression¿¿272¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿CallExpression
171¿Identifier¿¿272¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
172¿Literal¿string¿272¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Literal
173¿VariableDeclarator¿¿272¿A¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿VariableDeclarator
174¿CallExpression¿¿272¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿CallExpression
175¿Identifier¿¿272¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
176¿Literal¿string¿272¿¿'node-rules'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Literal
177¿VariableDeclarator¿¿272¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿VariableDeclarator
178¿Literal¿string¿272¿¿'./node-rules'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Literal
179¿ExpressionStatement¿¿272¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿ExpressionStatement
180¿AssignmentExpression¿=¿272¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿AssignmentExpression
181¿Identifier¿¿272¿file_exist¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
182¿CallExpression¿¿272¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿CallExpression
183¿MemberExpression¿¿272¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿MemberExpression
184¿Identifier¿¿272¿fs¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
185¿Identifier¿¿272¿existsSync¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
186¿Identifier¿¿272¿path¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
187¿VariableDeclarator¿¿272¿v12¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿VariableDeclarator
188¿CallExpression¿¿272¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿CallExpression
189¿Identifier¿¿272¿expect¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
190¿Identifier¿¿272¿file_exist¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/node-rules_3.0.0/node-rules.test.js"}¿¿Identifier
