Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
192¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Program
193¿VariableDeclarator¿¿332¿v31¿¿¿{"start":{"line":1,"column":41},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
194¿ArrowFunctionExpression¿¿332¿¿¿¿{"start":{"line":1,"column":41},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿ArrowFunctionExpression
195¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
196¿VariableDeclarator¿¿334¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
197¿CallExpression¿¿334¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿CallExpression
198¿MemberExpression¿¿334¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿MemberExpression
199¿Identifier¿¿334¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
200¿Identifier¿¿334¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
201¿Literal¿number¿334¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Literal
202¿ExpressionStatement¿¿334¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿ExpressionStatement
203¿Identifier¿¿334¿v17¿¿¿¿¿Identifier
204¿VariableDeclarator¿¿334¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
205¿CallExpression¿¿334¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿CallExpression
206¿Identifier¿¿334¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
207¿Literal¿string¿334¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Literal
208¿VariableDeclarator¿¿334¿path¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
209¿Literal¿string¿334¿¿'./open'¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Literal
210¿TryStatement¿¿334¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿TryStatement
211¿VariableDeclarator¿¿334¿v18¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
212¿CallExpression¿¿334¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿CallExpression
213¿MemberExpression¿¿334¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿MemberExpression
214¿Identifier¿¿334¿fs¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
215¿Identifier¿¿334¿existsSync¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
216¿Identifier¿¿334¿path¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
217¿IfStatement¿¿334¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿IfStatement
218¿Identifier¿¿334¿v18¿¿¿¿¿Identifier
219¿VariableDeclarator¿¿334¿v19¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
220¿CallExpression¿¿334¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":48},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿CallExpression
221¿MemberExpression¿¿334¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿MemberExpression
222¿Identifier¿¿334¿fs¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
223¿Identifier¿¿334¿unlinkSync¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
224¿Identifier¿¿334¿path¿¿¿{"start":{"line":6,"column":43},"end":{"line":6,"column":47},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿Identifier
225¿ExpressionStatement¿¿334¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿ExpressionStatement
226¿Identifier¿¿334¿v19¿¿¿¿¿Identifier
227¿BlockStatement¿¿334¿¿¿¿¿¿BlockStatement
228¿VariableDeclarator¿¿334¿v20¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿VariableDeclarator
229¿CallExpression¿¿334¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿CallExpression
230¿MemberExpression¿¿334¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":15},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/open_0.0.5/open.test.js"}¿¿MemberExpression
