Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
194¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿Program
195¿VariableDeclarator¿¿336¿v27¿¿¿{"start":{"line":1,"column":47},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿VariableDeclarator
196¿ArrowFunctionExpression¿¿336¿¿¿¿{"start":{"line":1,"column":47},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿ArrowFunctionExpression
197¿VariableDeclarator¿¿338¿v15¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿VariableDeclarator
198¿CallExpression¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿CallExpression
199¿MemberExpression¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿MemberExpression
200¿Identifier¿¿338¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿Identifier
201¿Identifier¿¿338¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿Identifier
202¿Literal¿number¿338¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿Literal
203¿ExpressionStatement¿¿338¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿ExpressionStatement
204¿Identifier¿¿338¿v15¿¿¿¿¿Identifier
205¿VariableDeclarator¿¿338¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿VariableDeclarator
206¿CallExpression¿¿338¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/pixl-class_1.0.0/pixl-class.test.js"}¿¿CallExpression
