Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
181¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Program
182¿VariableDeclarator¿¿310¿v35¿¿¿{"start":{"line":1,"column":52},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
183¿ArrowFunctionExpression¿¿310¿¿¿¿{"start":{"line":1,"column":52},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿ArrowFunctionExpression
184¿VariableDeclarator¿¿312¿v19¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
185¿CallExpression¿¿312¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
186¿MemberExpression¿¿312¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿MemberExpression
187¿Identifier¿¿312¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
188¿Identifier¿¿312¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
189¿Literal¿number¿312¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Literal
190¿ExpressionStatement¿¿312¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿ExpressionStatement
191¿Identifier¿¿312¿v19¿¿¿¿¿Identifier
192¿VariableDeclarator¿¿312¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
193¿CallExpression¿¿312¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
194¿Identifier¿¿312¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
195¿Literal¿string¿312¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Literal
196¿VariableDeclarator¿¿312¿reduceCSSCalc¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
197¿CallExpression¿¿312¿¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
198¿Identifier¿¿312¿require¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
199¿Literal¿string¿312¿¿'reduce-css-calc'¿¿{"start":{"line":4,"column":32},"end":{"line":4,"column":49},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Literal
200¿VariableDeclarator¿¿312¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
201¿Literal¿string¿312¿¿'./reduce-css-calc'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Literal
202¿ExpressionStatement¿¿312¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿ExpressionStatement
203¿AssignmentExpression¿=¿312¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿AssignmentExpression
204¿Identifier¿¿312¿file_exist¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
205¿CallExpression¿¿312¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
206¿MemberExpression¿¿312¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿MemberExpression
207¿Identifier¿¿312¿fs¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
208¿Identifier¿¿312¿existsSync¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
209¿Identifier¿¿312¿path¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
210¿VariableDeclarator¿¿312¿v20¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
211¿CallExpression¿¿312¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
212¿Identifier¿¿312¿expect¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
213¿Identifier¿¿312¿file_exist¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
214¿VariableDeclarator¿¿312¿v21¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
215¿CallExpression¿¿312¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
216¿MemberExpression¿¿312¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿MemberExpression
217¿Identifier¿¿312¿v20¿¿¿¿¿Identifier
218¿Identifier¿¿312¿toBe¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
219¿Literal¿boolean¿312¿¿false¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Literal
220¿ExpressionStatement¿¿312¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿ExpressionStatement
221¿Identifier¿¿312¿v21¿¿¿¿¿Identifier
222¿TryStatement¿¿312¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":20,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿TryStatement
223¿VariableDeclarator¿¿312¿v22¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":76},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
224¿TemplateLiteral¿¿312¿¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":76},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿TemplateLiteral
225¿VariableDeclarator¿¿312¿v23¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":77},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
226¿CallExpression¿¿312¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":77},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
227¿Identifier¿¿312¿reduceCSSCalc¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
228¿Identifier¿¿312¿v22¿¿¿¿¿Identifier
229¿VariableDeclarator¿¿312¿v24¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":78},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
230¿CallExpression¿¿312¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":78},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
231¿MemberExpression¿¿312¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿MemberExpression
232¿Identifier¿¿312¿console¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":11},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
233¿Identifier¿¿312¿log¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
234¿Identifier¿¿312¿v23¿¿¿¿¿Identifier
235¿ExpressionStatement¿¿312¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":79},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿ExpressionStatement
236¿Identifier¿¿312¿v24¿¿¿¿¿Identifier
237¿VariableDeclarator¿¿312¿v25¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":69},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
238¿TemplateLiteral¿¿312¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":69},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿TemplateLiteral
239¿VariableDeclarator¿¿312¿v26¿¿¿{"start":{"line":11,"column":6},"end":{"line":13,"column":7},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
240¿CallExpression¿¿312¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":13,"column":7},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿CallExpression
241¿Identifier¿¿312¿reduceCSSCalc¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿Identifier
242¿Identifier¿¿312¿v25¿¿¿¿¿Identifier
243¿VariableDeclarator¿¿312¿v27¿¿¿{"start":{"line":10,"column":4},"end":{"line":14,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/reduce-css-calc_1.2.0/reduce-css-calc.test.js"}¿¿VariableDeclarator
