Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
208¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Program
209¿VariableDeclarator¿¿355¿v49¿¿¿{"start":{"line":1,"column":57},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿VariableDeclarator
210¿ArrowFunctionExpression¿¿355¿¿¿¿{"start":{"line":1,"column":57},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿ArrowFunctionExpression
211¿VariableDeclarator¿¿357¿v26¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿VariableDeclarator
212¿CallExpression¿¿357¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿CallExpression
213¿MemberExpression¿¿357¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿MemberExpression
214¿Identifier¿¿357¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Identifier
215¿Identifier¿¿357¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Identifier
216¿Literal¿number¿357¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Literal
217¿ExpressionStatement¿¿357¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿ExpressionStatement
218¿Identifier¿¿357¿v26¿¿¿¿¿Identifier
219¿VariableDeclarator¿¿357¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿VariableDeclarator
220¿CallExpression¿¿357¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿CallExpression
221¿Identifier¿¿357¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Identifier
222¿Literal¿string¿357¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Literal
223¿VariableDeclarator¿¿357¿serialize¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":51},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿VariableDeclarator
224¿CallExpression¿¿357¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":51},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿CallExpression
225¿Identifier¿¿357¿require¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Identifier
226¿Literal¿string¿357¿¿'serialize-javascript'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-javascript_2.0.0/serialize-javascript.test.js"}¿¿Literal
