Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
136¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":16,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿Program
137¿VariableDeclarator¿¿233¿v19¿¿¿{"start":{"line":1,"column":52},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿VariableDeclarator
138¿ArrowFunctionExpression¿¿233¿¿¿¿{"start":{"line":1,"column":52},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿ArrowFunctionExpression
139¿VariableDeclarator¿¿235¿v11¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿VariableDeclarator
140¿CallExpression¿¿235¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿CallExpression
141¿MemberExpression¿¿235¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿MemberExpression
142¿Identifier¿¿235¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿Identifier
143¿Identifier¿¿235¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿Identifier
144¿Literal¿number¿235¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿Literal
145¿ExpressionStatement¿¿235¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿ExpressionStatement
146¿Identifier¿¿235¿v11¿¿¿¿¿Identifier
147¿VariableDeclarator¿¿235¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿VariableDeclarator
148¿CallExpression¿¿235¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/serialize-to-js_0.5.0/serialize-to-js.test.js"}¿¿CallExpression
