Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
144¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Program
145¿VariableDeclarator¿¿245¿v21¿¿¿{"start":{"line":1,"column":47},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿VariableDeclarator
146¿ArrowFunctionExpression¿¿245¿¿¿¿{"start":{"line":1,"column":47},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿ArrowFunctionExpression
147¿VariableDeclarator¿¿247¿v12¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿VariableDeclarator
148¿CallExpression¿¿247¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿CallExpression
149¿MemberExpression¿¿247¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿MemberExpression
150¿Identifier¿¿247¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Identifier
151¿Identifier¿¿247¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Identifier
152¿Literal¿number¿247¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Literal
153¿ExpressionStatement¿¿247¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿ExpressionStatement
154¿Identifier¿¿247¿v12¿¿¿¿¿Identifier
155¿VariableDeclarator¿¿247¿fs¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿VariableDeclarator
156¿CallExpression¿¿247¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿CallExpression
157¿Identifier¿¿247¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Identifier
158¿Literal¿string¿247¿¿'fs'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Literal
159¿VariableDeclarator¿¿247¿_¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿VariableDeclarator
160¿CallExpression¿¿247¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿CallExpression
161¿Identifier¿¿247¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/code-injection/underscore_1.13.0-0/underscore.test.js"}¿¿Identifier
