Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
196¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":28,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿Program
197¿VariableDeclarator¿¿342¿v29¿¿¿{"start":{"line":1,"column":55},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿VariableDeclarator
198¿ArrowFunctionExpression¿¿342¿¿¿¿{"start":{"line":1,"column":55},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿ArrowFunctionExpression
199¿VariableDeclarator¿¿344¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿VariableDeclarator
200¿CallExpression¿¿344¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿CallExpression
201¿MemberExpression¿¿344¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿MemberExpression
202¿Identifier¿¿344¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿Identifier
203¿Identifier¿¿344¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿Identifier
204¿Literal¿number¿344¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿Literal
205¿ExpressionStatement¿¿344¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿ExpressionStatement
206¿Identifier¿¿344¿v16¿¿¿¿¿Identifier
207¿VariableDeclarator¿¿344¿publisher¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":56},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files.test.js"}¿¿VariableDeclarator
