Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
181¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Program
182¿VariableDeclarator¿¿315¿v23¿¿¿{"start":{"line":1,"column":36},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
183¿ArrowFunctionExpression¿¿315¿¿¿¿{"start":{"line":1,"column":36},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿ArrowFunctionExpression
184¿VariableDeclarator¿¿317¿v13¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
185¿CallExpression¿¿317¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
186¿MemberExpression¿¿317¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿MemberExpression
187¿Identifier¿¿317¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
188¿Identifier¿¿317¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
189¿Literal¿number¿317¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Literal
190¿ExpressionStatement¿¿317¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿ExpressionStatement
191¿Identifier¿¿317¿v13¿¿¿¿¿Identifier
192¿VariableDeclarator¿¿317¿Root¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
193¿CallExpression¿¿317¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
194¿Identifier¿¿317¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
195¿Literal¿string¿317¿¿'blamer'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Literal
196¿VariableDeclarator¿¿317¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
197¿CallExpression¿¿317¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
198¿Identifier¿¿317¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
199¿Literal¿string¿317¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Literal
200¿VariableDeclarator¿¿317¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
201¿Literal¿string¿317¿¿'./blamer'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Literal
202¿TryStatement¿¿317¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿TryStatement
203¿VariableDeclarator¿¿317¿v14¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
204¿CallExpression¿¿317¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
205¿MemberExpression¿¿317¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿MemberExpression
206¿Identifier¿¿317¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
207¿Identifier¿¿317¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
208¿Identifier¿¿317¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
209¿IfStatement¿¿317¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":9,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿IfStatement
210¿Identifier¿¿317¿v14¿¿¿¿¿Identifier
211¿VariableDeclarator¿¿317¿v15¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
212¿CallExpression¿¿317¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
213¿MemberExpression¿¿317¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿MemberExpression
214¿Identifier¿¿317¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
215¿Identifier¿¿317¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
216¿Identifier¿¿317¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
217¿ExpressionStatement¿¿317¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿ExpressionStatement
218¿Identifier¿¿317¿v15¿¿¿¿¿Identifier
219¿BlockStatement¿¿317¿¿¿¿{"start":{"line":7,"column":29},"end":{"line":9,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿BlockStatement
220¿BlockStatement¿¿317¿¿¿¿{"start":{"line":6,"column":6},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿BlockStatement
221¿CatchClause¿¿317¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CatchClause
222¿VariableDeclarator¿¿317¿v16¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
223¿CallExpression¿¿317¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
224¿MemberExpression¿¿317¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿MemberExpression
225¿Identifier¿¿317¿console¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
226¿Identifier¿¿317¿error¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
227¿Identifier¿¿317¿err¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
228¿ExpressionStatement¿¿317¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿ExpressionStatement
229¿Identifier¿¿317¿v16¿¿¿¿¿Identifier
230¿BlockStatement¿¿317¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿BlockStatement
231¿Identifier¿¿317¿err¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
232¿ExpressionStatement¿¿317¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿ExpressionStatement
233¿AssignmentExpression¿=¿317¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿AssignmentExpression
234¿Identifier¿¿317¿file_exist¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":12},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
235¿CallExpression¿¿317¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
236¿MemberExpression¿¿317¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿MemberExpression
237¿Identifier¿¿317¿fs¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
238¿Identifier¿¿317¿existsSync¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
239¿Identifier¿¿317¿path¿¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
240¿VariableDeclarator¿¿317¿v17¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
241¿CallExpression¿¿317¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
242¿Identifier¿¿317¿expect¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
243¿Identifier¿¿317¿file_exist¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
244¿VariableDeclarator¿¿317¿v18¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
245¿CallExpression¿¿317¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿CallExpression
246¿MemberExpression¿¿317¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿MemberExpression
247¿Identifier¿¿317¿v17¿¿¿¿¿Identifier
248¿Identifier¿¿317¿toBe¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Identifier
249¿Literal¿boolean¿317¿¿false¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿Literal
250¿ExpressionStatement¿¿317¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿ExpressionStatement
251¿Identifier¿¿317¿v18¿¿¿¿¿Identifier
252¿VariableDeclarator¿¿317¿attack_command¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/blamer_0.1.13/blamer.test.js"}¿¿VariableDeclarator
