Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
175¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿Program
176¿VariableDeclarator¿¿303¿v25¿¿¿{"start":{"line":1,"column":34},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿VariableDeclarator
177¿ArrowFunctionExpression¿¿303¿¿¿¿{"start":{"line":1,"column":34},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿ArrowFunctionExpression
178¿VariableDeclarator¿¿305¿v14¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿VariableDeclarator
179¿CallExpression¿¿305¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿CallExpression
180¿MemberExpression¿¿305¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿MemberExpression
181¿Identifier¿¿305¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿Identifier
182¿Identifier¿¿305¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿Identifier
183¿Literal¿number¿305¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿Literal
184¿ExpressionStatement¿¿305¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/buns_1.1.6/buns.test.js"}¿¿ExpressionStatement
