Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
230¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿Program
231¿VariableDeclarator¿¿389¿v37¿¿¿{"start":{"line":1,"column":45},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿VariableDeclarator
232¿ArrowFunctionExpression¿¿389¿¿¿¿{"start":{"line":1,"column":45},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿ArrowFunctionExpression
233¿VariableDeclarator¿¿391¿v20¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿VariableDeclarator
234¿CallExpression¿¿391¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿CallExpression
235¿MemberExpression¿¿391¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿MemberExpression
236¿Identifier¿¿391¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿Identifier
237¿Identifier¿¿391¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿Identifier
238¿Literal¿number¿391¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿Literal
239¿ExpressionStatement¿¿391¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/compass-compile_0.0.1/compass-compile.test.js"}¿¿ExpressionStatement
