Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
184¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Program
185¿VariableDeclarator¿¿322¿v27¿¿¿{"start":{"line":1,"column":47},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
186¿ArrowFunctionExpression¿¿322¿¿¿¿{"start":{"line":1,"column":47},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿ArrowFunctionExpression
187¿VariableDeclarator¿¿324¿v15¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
188¿CallExpression¿¿324¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CallExpression
189¿MemberExpression¿¿324¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿MemberExpression
190¿Identifier¿¿324¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
191¿Identifier¿¿324¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
192¿Literal¿number¿324¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Literal
193¿ExpressionStatement¿¿324¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿ExpressionStatement
194¿Identifier¿¿324¿v15¿¿¿¿¿Identifier
195¿VariableDeclarator¿¿324¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
196¿CallExpression¿¿324¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CallExpression
197¿Identifier¿¿324¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
198¿Literal¿string¿324¿¿'connection-tester'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Literal
199¿VariableDeclarator¿¿324¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
200¿CallExpression¿¿324¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CallExpression
201¿Identifier¿¿324¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
202¿Literal¿string¿324¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Literal
203¿VariableDeclarator¿¿324¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
204¿Literal¿string¿324¿¿'./connection-tester'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Literal
205¿TryStatement¿¿324¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿TryStatement
206¿VariableDeclarator¿¿324¿v16¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
207¿CallExpression¿¿324¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CallExpression
208¿MemberExpression¿¿324¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿MemberExpression
209¿Identifier¿¿324¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
210¿Identifier¿¿324¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
211¿Identifier¿¿324¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
212¿IfStatement¿¿324¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":9,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿IfStatement
213¿Identifier¿¿324¿v16¿¿¿¿¿Identifier
214¿VariableDeclarator¿¿324¿v17¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
215¿CallExpression¿¿324¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CallExpression
216¿MemberExpression¿¿324¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿MemberExpression
217¿Identifier¿¿324¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
218¿Identifier¿¿324¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
219¿Identifier¿¿324¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
220¿ExpressionStatement¿¿324¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿ExpressionStatement
221¿Identifier¿¿324¿v17¿¿¿¿¿Identifier
222¿BlockStatement¿¿324¿¿¿¿{"start":{"line":7,"column":29},"end":{"line":9,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿BlockStatement
223¿BlockStatement¿¿324¿¿¿¿{"start":{"line":6,"column":6},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿BlockStatement
224¿CatchClause¿¿324¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CatchClause
225¿VariableDeclarator¿¿324¿v18¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿VariableDeclarator
226¿CallExpression¿¿324¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿CallExpression
227¿MemberExpression¿¿324¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿MemberExpression
228¿Identifier¿¿324¿console¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
229¿Identifier¿¿324¿error¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
230¿Identifier¿¿324¿err¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
231¿ExpressionStatement¿¿324¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿ExpressionStatement
232¿Identifier¿¿324¿v18¿¿¿¿¿Identifier
233¿BlockStatement¿¿324¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿BlockStatement
234¿Identifier¿¿324¿err¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":14},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/connection-tester_0.2.0/connection-tester.test.js"}¿¿Identifier
