Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
178¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿Program
179¿VariableDeclarator¿¿308¿v27¿¿¿{"start":{"line":1,"column":50},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿VariableDeclarator
180¿ArrowFunctionExpression¿¿308¿¿¿¿{"start":{"line":1,"column":50},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿ArrowFunctionExpression
181¿VariableDeclarator¿¿310¿v15¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿VariableDeclarator
182¿CallExpression¿¿310¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿CallExpression
183¿MemberExpression¿¿310¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿MemberExpression
184¿Identifier¿¿310¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿Identifier
185¿Identifier¿¿310¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿Identifier
186¿Literal¿number¿310¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿Literal
187¿ExpressionStatement¿¿310¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿ExpressionStatement
188¿Identifier¿¿310¿v15¿¿¿¿¿Identifier
189¿VariableDeclarator¿¿310¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿VariableDeclarator
190¿CallExpression¿¿310¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿CallExpression
191¿Identifier¿¿310¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿Identifier
192¿Literal¿string¿310¿¿'corenlp-js-interface'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿Literal
193¿VariableDeclarator¿¿310¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿VariableDeclarator
194¿CallExpression¿¿310¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/corenlp-js-interface_1.0.3/corenlp-js-interface.test.js"}¿¿CallExpression
