Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
203¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿Program
204¿VariableDeclarator¿¿349¿v31¿¿¿{"start":{"line":1,"column":37},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿VariableDeclarator
205¿ArrowFunctionExpression¿¿349¿¿¿¿{"start":{"line":1,"column":37},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿ArrowFunctionExpression
206¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":38},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿Identifier
207¿VariableDeclarator¿¿351¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿VariableDeclarator
208¿CallExpression¿¿351¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿CallExpression
209¿MemberExpression¿¿351¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿MemberExpression
210¿Identifier¿¿351¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿Identifier
211¿Identifier¿¿351¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿Identifier
212¿Literal¿number¿351¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/curling_0.2.0/curling.test.js"}¿¿Literal
