Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
165¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":19,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Program
166¿VariableDeclarator¿¿285¿v25¿¿¿{"start":{"line":1,"column":43},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
167¿ArrowFunctionExpression¿¿285¿¿¿¿{"start":{"line":1,"column":43},"end":{"line":19,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿ArrowFunctionExpression
168¿VariableDeclarator¿¿287¿v14¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
169¿CallExpression¿¿287¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿CallExpression
170¿MemberExpression¿¿287¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿MemberExpression
171¿Identifier¿¿287¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
172¿Identifier¿¿287¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
173¿Literal¿number¿287¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Literal
174¿ExpressionStatement¿¿287¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿ExpressionStatement
175¿Identifier¿¿287¿v14¿¿¿¿¿Identifier
176¿VariableDeclarator¿¿287¿a¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
177¿CallExpression¿¿287¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿CallExpression
178¿Identifier¿¿287¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
179¿Literal¿string¿287¿¿'deferred-exec'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Literal
180¿VariableDeclarator¿¿287¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
181¿CallExpression¿¿287¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿CallExpression
182¿Identifier¿¿287¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
183¿Literal¿string¿287¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Literal
184¿VariableDeclarator¿¿287¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
185¿Literal¿string¿287¿¿'./deferred-exec'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Literal
186¿TryStatement¿¿287¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿TryStatement
187¿VariableDeclarator¿¿287¿v15¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
188¿CallExpression¿¿287¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿CallExpression
189¿MemberExpression¿¿287¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿MemberExpression
190¿Identifier¿¿287¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
191¿Identifier¿¿287¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
192¿Identifier¿¿287¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
193¿IfStatement¿¿287¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":9,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿IfStatement
194¿Identifier¿¿287¿v15¿¿¿¿¿Identifier
195¿VariableDeclarator¿¿287¿v16¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿VariableDeclarator
196¿CallExpression¿¿287¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿CallExpression
197¿MemberExpression¿¿287¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿MemberExpression
198¿Identifier¿¿287¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
199¿Identifier¿¿287¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
200¿Identifier¿¿287¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/deferred-exec_0.3.1/deferred-exec.test.js"}¿¿Identifier
