Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
184¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿Program
185¿VariableDeclarator¿¿318¿v29¿¿¿{"start":{"line":1,"column":39},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿VariableDeclarator
186¿ArrowFunctionExpression¿¿318¿¿¿¿{"start":{"line":1,"column":39},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿ArrowFunctionExpression
187¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿Identifier
188¿VariableDeclarator¿¿320¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿VariableDeclarator
189¿CallExpression¿¿320¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿CallExpression
190¿MemberExpression¿¿320¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿MemberExpression
191¿Identifier¿¿320¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿Identifier
192¿Identifier¿¿320¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿Identifier
193¿Literal¿number¿320¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿Literal
194¿ExpressionStatement¿¿320¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿ExpressionStatement
195¿Identifier¿¿320¿v16¿¿¿¿¿Identifier
196¿VariableDeclarator¿¿320¿diskstats¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskstats_0.0.2/diskstats.test.js"}¿¿VariableDeclarator
