Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
176¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Program
177¿VariableDeclarator¿¿302¿v29¿¿¿{"start":{"line":1,"column":42},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿VariableDeclarator
178¿ArrowFunctionExpression¿¿302¿¿¿¿{"start":{"line":1,"column":42},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿ArrowFunctionExpression
179¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":43},"end":{"line":1,"column":47},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Identifier
180¿VariableDeclarator¿¿304¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿VariableDeclarator
181¿CallExpression¿¿304¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿CallExpression
182¿MemberExpression¿¿304¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿MemberExpression
183¿Identifier¿¿304¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Identifier
184¿Identifier¿¿304¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Identifier
185¿Literal¿number¿304¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Literal
186¿ExpressionStatement¿¿304¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿ExpressionStatement
187¿Identifier¿¿304¿v16¿¿¿¿¿Identifier
188¿VariableDeclarator¿¿304¿root¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿VariableDeclarator
189¿CallExpression¿¿304¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿CallExpression
190¿Identifier¿¿304¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Identifier
191¿Literal¿string¿304¿¿'diskusage-ng'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Literal
192¿VariableDeclarator¿¿304¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿VariableDeclarator
193¿CallExpression¿¿304¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿CallExpression
194¿Identifier¿¿304¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/diskusage-ng_0.2.6/diskusage-ng.test.js"}¿¿Identifier
