Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
199¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿Program
200¿VariableDeclarator¿¿343¿v29¿¿¿{"start":{"line":1,"column":36},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿VariableDeclarator
201¿ArrowFunctionExpression¿¿343¿¿¿¿{"start":{"line":1,"column":36},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿ArrowFunctionExpression
202¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":37},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿Identifier
203¿VariableDeclarator¿¿345¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿VariableDeclarator
204¿CallExpression¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿CallExpression
205¿MemberExpression¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿MemberExpression
206¿Identifier¿¿345¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿Identifier
207¿Identifier¿¿345¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿Identifier
208¿Literal¿number¿345¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/enpeem_2.2.0/enpeem.test.js"}¿¿Literal
