Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
225¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿Program
226¿VariableDeclarator¿¿382¿v39¿¿¿{"start":{"line":1,"column":40},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿VariableDeclarator
227¿ArrowFunctionExpression¿¿382¿¿¿¿{"start":{"line":1,"column":40},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿ArrowFunctionExpression
228¿VariableDeclarator¿¿384¿v21¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿VariableDeclarator
229¿CallExpression¿¿384¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿CallExpression
230¿MemberExpression¿¿384¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿MemberExpression
231¿Identifier¿¿384¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿Identifier
232¿Identifier¿¿384¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿Identifier
233¿Literal¿number¿384¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿Literal
234¿ExpressionStatement¿¿384¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/ffmpeg-sdk_0.0.5/ffmpeg-sdk.test.js"}¿¿ExpressionStatement
