Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
184¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Program
185¿VariableDeclarator¿¿314¿v29¿¿¿{"start":{"line":1,"column":45},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿VariableDeclarator
186¿ArrowFunctionExpression¿¿314¿¿¿¿{"start":{"line":1,"column":45},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿ArrowFunctionExpression
187¿VariableDeclarator¿¿316¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿VariableDeclarator
188¿CallExpression¿¿316¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿CallExpression
189¿MemberExpression¿¿316¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿MemberExpression
190¿Identifier¿¿316¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Identifier
191¿Identifier¿¿316¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Identifier
192¿Literal¿number¿316¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Literal
193¿ExpressionStatement¿¿316¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿ExpressionStatement
194¿Identifier¿¿316¿v16¿¿¿¿¿Identifier
195¿VariableDeclarator¿¿316¿gitTagsRemote¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿VariableDeclarator
196¿CallExpression¿¿316¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿CallExpression
197¿Identifier¿¿316¿require¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Identifier
198¿Literal¿string¿316¿¿'git-tags-remote'¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":49},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Literal
199¿VariableDeclarator¿¿316¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿VariableDeclarator
200¿CallExpression¿¿316¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿CallExpression
201¿Identifier¿¿316¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Identifier
202¿Literal¿string¿316¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Literal
203¿VariableDeclarator¿¿316¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿VariableDeclarator
204¿Literal¿string¿316¿¿'./git-tags-remote'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿Literal
205¿TryStatement¿¿316¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":12,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿TryStatement
206¿VariableDeclarator¿¿316¿v17¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿VariableDeclarator
207¿CallExpression¿¿316¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/git-tags-remote_1.0.2/git-tags-remote.test.js"}¿¿CallExpression
