Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
218¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":28,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Program
219¿VariableDeclarator¿¿374¿v35¿¿¿{"start":{"line":1,"column":38},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
220¿ArrowFunctionExpression¿¿374¿¿¿¿{"start":{"line":1,"column":38},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿ArrowFunctionExpression
221¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":39},"end":{"line":1,"column":43},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
222¿VariableDeclarator¿¿376¿v19¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
223¿CallExpression¿¿376¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿CallExpression
224¿MemberExpression¿¿376¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿MemberExpression
225¿Identifier¿¿376¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
226¿Identifier¿¿376¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
227¿Literal¿number¿376¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Literal
228¿ExpressionStatement¿¿376¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿ExpressionStatement
229¿Identifier¿¿376¿v19¿¿¿¿¿Identifier
230¿VariableDeclarator¿¿376¿Git¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
231¿CallExpression¿¿376¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿CallExpression
232¿Identifier¿¿376¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
233¿Literal¿string¿376¿¿'gity'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Literal
234¿VariableDeclarator¿¿376¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
235¿CallExpression¿¿376¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿CallExpression
236¿Identifier¿¿376¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
237¿Literal¿string¿376¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Literal
238¿VariableDeclarator¿¿376¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
239¿Literal¿string¿376¿¿'./gity'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Literal
240¿TryStatement¿¿376¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿TryStatement
241¿VariableDeclarator¿¿376¿v20¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
242¿CallExpression¿¿376¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿CallExpression
243¿MemberExpression¿¿376¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿MemberExpression
244¿Identifier¿¿376¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
245¿Identifier¿¿376¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
246¿Identifier¿¿376¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
247¿IfStatement¿¿376¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿IfStatement
248¿Identifier¿¿376¿v20¿¿¿¿¿Identifier
249¿VariableDeclarator¿¿376¿v21¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿VariableDeclarator
250¿CallExpression¿¿376¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿CallExpression
251¿MemberExpression¿¿376¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿MemberExpression
252¿Identifier¿¿376¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
253¿Identifier¿¿376¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
254¿Identifier¿¿376¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gity_1.0.5/gity.test.js"}¿¿Identifier
