Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
208¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":30,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Program
209¿VariableDeclarator¿¿353¿v17¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿VariableDeclarator
210¿CallExpression¿¿353¿¿¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿CallExpression
211¿Identifier¿¿353¿require¿¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Identifier
212¿Literal¿string¿353¿¿'assert'¿¿{"start":{"line":1,"column":33},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Literal
213¿VariableDeclarator¿¿353¿doesNotMatch¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿VariableDeclarator
214¿MemberExpression¿¿353¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿MemberExpression
215¿Identifier¿¿353¿v17¿¿¿¿¿Identifier
216¿Identifier¿¿353¿doesNotMatch¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Identifier
217¿VariableDeclarator¿¿353¿v31¿¿¿{"start":{"line":2,"column":32},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿VariableDeclarator
218¿ArrowFunctionExpression¿¿353¿¿¿¿{"start":{"line":2,"column":32},"end":{"line":30,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿ArrowFunctionExpression
219¿Identifier¿¿0¿done¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Identifier
220¿VariableDeclarator¿¿355¿v18¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿VariableDeclarator
221¿CallExpression¿¿355¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿CallExpression
222¿MemberExpression¿¿355¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿MemberExpression
223¿Identifier¿¿355¿expect¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Identifier
224¿Identifier¿¿355¿assertions¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Identifier
225¿Literal¿number¿355¿¿2¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Literal
226¿ExpressionStatement¿¿355¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿ExpressionStatement
227¿Identifier¿¿355¿v18¿¿¿¿¿Identifier
228¿VariableDeclarator¿¿355¿gm¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿VariableDeclarator
229¿CallExpression¿¿355¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿CallExpression
230¿Identifier¿¿355¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Identifier
231¿Literal¿string¿355¿¿'gm'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿Literal
232¿VariableDeclarator¿¿355¿fs¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gm_1.20.0/gm.test.js"}¿¿VariableDeclarator
