Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
200¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿Program
201¿VariableDeclarator¿¿343¿v31¿¿¿{"start":{"line":1,"column":33},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿VariableDeclarator
202¿ArrowFunctionExpression¿¿343¿¿¿¿{"start":{"line":1,"column":33},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿ArrowFunctionExpression
203¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":34},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿Identifier
204¿VariableDeclarator¿¿345¿v17¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿VariableDeclarator
205¿CallExpression¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿CallExpression
206¿MemberExpression¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿MemberExpression
207¿Identifier¿¿345¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿Identifier
208¿Identifier¿¿345¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿Identifier
209¿Literal¿number¿345¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿Literal
210¿ExpressionStatement¿¿345¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿ExpressionStatement
211¿Identifier¿¿345¿v17¿¿¿¿¿Identifier
212¿VariableDeclarator¿¿345¿Repo¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿VariableDeclarator
213¿CallExpression¿¿345¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/gry_5.0.8/gry.test.js"}¿¿CallExpression
