Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
187¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":23,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Program
188¿VariableDeclarator¿¿323¿v29¿¿¿{"start":{"line":1,"column":48},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿VariableDeclarator
189¿ArrowFunctionExpression¿¿323¿¿¿¿{"start":{"line":1,"column":48},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿ArrowFunctionExpression
190¿VariableDeclarator¿¿325¿v16¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿VariableDeclarator
191¿CallExpression¿¿325¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿CallExpression
192¿MemberExpression¿¿325¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿MemberExpression
193¿Identifier¿¿325¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Identifier
194¿Identifier¿¿325¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Identifier
195¿Literal¿number¿325¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿Literal
196¿ExpressionStatement¿¿325¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿ExpressionStatement
197¿Identifier¿¿325¿v16¿¿¿¿¿Identifier
198¿VariableDeclarator¿¿325¿v17¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":53},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/hot-formula-parser_3.0.0/hot-formula-parser.test.js"}¿¿VariableDeclarator
