Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
204¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Program
205¿VariableDeclarator¿¿349¿v33¿¿¿{"start":{"line":1,"column":41},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
206¿ArrowFunctionExpression¿¿349¿¿¿¿{"start":{"line":1,"column":41},"end":{"line":26,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿ArrowFunctionExpression
207¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":42},"end":{"line":1,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
208¿VariableDeclarator¿¿351¿v18¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
209¿CallExpression¿¿351¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿CallExpression
210¿MemberExpression¿¿351¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿MemberExpression
211¿Identifier¿¿351¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
212¿Identifier¿¿351¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
213¿Literal¿number¿351¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Literal
214¿ExpressionStatement¿¿351¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿ExpressionStatement
215¿Identifier¿¿351¿v18¿¿¿¿¿Identifier
216¿VariableDeclarator¿¿351¿metadata¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
217¿CallExpression¿¿351¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿CallExpression
218¿Identifier¿¿351¿require¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
219¿Literal¿string¿351¿¿'im-metadata'¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Literal
220¿VariableDeclarator¿¿351¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
221¿CallExpression¿¿351¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿CallExpression
222¿Identifier¿¿351¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
223¿Literal¿string¿351¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Literal
224¿VariableDeclarator¿¿351¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
225¿Literal¿string¿351¿¿'./im-metadata'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Literal
226¿TryStatement¿¿351¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿TryStatement
227¿VariableDeclarator¿¿351¿v19¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
228¿CallExpression¿¿351¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿CallExpression
229¿MemberExpression¿¿351¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿MemberExpression
230¿Identifier¿¿351¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
231¿Identifier¿¿351¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
232¿Identifier¿¿351¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿Identifier
233¿IfStatement¿¿351¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿IfStatement
234¿Identifier¿¿351¿v19¿¿¿¿¿Identifier
235¿VariableDeclarator¿¿351¿v20¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿VariableDeclarator
236¿CallExpression¿¿351¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/im-metadata_3.0.1/im-metadata.test.js"}¿¿CallExpression
