Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
220¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":25,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Program
221¿VariableDeclarator¿¿376¿v37¿¿¿{"start":{"line":1,"column":43},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿VariableDeclarator
222¿ArrowFunctionExpression¿¿376¿¿¿¿{"start":{"line":1,"column":43},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿ArrowFunctionExpression
223¿VariableDeclarator¿¿378¿v20¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿VariableDeclarator
224¿CallExpression¿¿378¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿CallExpression
225¿MemberExpression¿¿378¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿MemberExpression
226¿Identifier¿¿378¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Identifier
227¿Identifier¿¿378¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Identifier
228¿Literal¿number¿378¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Literal
229¿ExpressionStatement¿¿378¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿ExpressionStatement
230¿Identifier¿¿378¿v20¿¿¿¿¿Identifier
231¿VariableDeclarator¿¿378¿im¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿VariableDeclarator
232¿CallExpression¿¿378¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿CallExpression
233¿Identifier¿¿378¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Identifier
234¿Literal¿string¿378¿¿'imagickal'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Literal
235¿VariableDeclarator¿¿378¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿VariableDeclarator
236¿CallExpression¿¿378¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿CallExpression
237¿Identifier¿¿378¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Identifier
238¿Literal¿string¿378¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Literal
239¿VariableDeclarator¿¿378¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿VariableDeclarator
240¿Literal¿string¿378¿¿'./imagickal'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿Literal
241¿TryStatement¿¿378¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿TryStatement
242¿VariableDeclarator¿¿378¿v21¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿VariableDeclarator
243¿CallExpression¿¿378¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿CallExpression
244¿MemberExpression¿¿378¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/imagickal_5.0.1/imagickal.test.js"}¿¿MemberExpression
