Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
209¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Program
210¿VariableDeclarator¿¿359¿v35¿¿¿{"start":{"line":1,"column":35},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
211¿ArrowFunctionExpression¿¿359¿¿¿¿{"start":{"line":1,"column":35},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿ArrowFunctionExpression
212¿Identifier¿¿0¿done¿¿¿{"start":{"line":1,"column":36},"end":{"line":1,"column":40},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
213¿VariableDeclarator¿¿361¿v19¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
214¿CallExpression¿¿361¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿CallExpression
215¿MemberExpression¿¿361¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿MemberExpression
216¿Identifier¿¿361¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
217¿Identifier¿¿361¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
218¿Literal¿number¿361¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Literal
219¿ExpressionStatement¿¿361¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿ExpressionStatement
220¿Identifier¿¿361¿v19¿¿¿¿¿Identifier
221¿VariableDeclarator¿¿361¿v20¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
222¿CallExpression¿¿361¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿CallExpression
223¿Identifier¿¿361¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
224¿Literal¿string¿361¿¿'child_process'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Literal
225¿ExpressionStatement¿¿361¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿ExpressionStatement
226¿AssignmentExpression¿=¿361¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿AssignmentExpression
227¿Identifier¿¿361¿exec¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":6},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
228¿MemberExpression¿¿361¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿MemberExpression
229¿Identifier¿¿361¿v20¿¿¿¿¿Identifier
230¿Identifier¿¿361¿exec¿¿¿{"start":{"line":3,"column":34},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
231¿VariableDeclarator¿¿361¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
232¿CallExpression¿¿361¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿CallExpression
233¿Identifier¿¿361¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
234¿Literal¿string¿361¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Literal
235¿VariableDeclarator¿¿361¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
236¿Literal¿string¿361¿¿'./jison'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Literal
237¿TryStatement¿¿361¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿TryStatement
238¿VariableDeclarator¿¿361¿v21¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
239¿CallExpression¿¿361¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿CallExpression
240¿MemberExpression¿¿361¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿MemberExpression
241¿Identifier¿¿361¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
242¿Identifier¿¿361¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
243¿Identifier¿¿361¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
244¿IfStatement¿¿361¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿IfStatement
245¿Identifier¿¿361¿v21¿¿¿¿¿Identifier
246¿VariableDeclarator¿¿361¿v22¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿VariableDeclarator
247¿CallExpression¿¿361¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿CallExpression
248¿MemberExpression¿¿361¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿MemberExpression
249¿Identifier¿¿361¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
250¿Identifier¿¿361¿unlinkSync¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
251¿Identifier¿¿361¿path¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":24},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿Identifier
252¿ExpressionStatement¿¿361¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/jison_0.4.17/jison.test.js"}¿¿ExpressionStatement
253¿Identifier¿¿361¿v22¿¿¿¿¿Identifier
