Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
173¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Program
174¿VariableDeclarator¿¿299¿v27¿¿¿{"start":{"line":1,"column":42},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
175¿ArrowFunctionExpression¿¿299¿¿¿¿{"start":{"line":1,"column":42},"end":{"line":20,"column":1},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿ArrowFunctionExpression
176¿VariableDeclarator¿¿301¿v15¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
177¿CallExpression¿¿301¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿CallExpression
178¿MemberExpression¿¿301¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿MemberExpression
179¿Identifier¿¿301¿expect¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":8},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
180¿Identifier¿¿301¿assertions¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
181¿Literal¿number¿301¿¿2¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Literal
182¿ExpressionStatement¿¿301¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿ExpressionStatement
183¿Identifier¿¿301¿v15¿¿¿¿¿Identifier
184¿VariableDeclarator¿¿301¿kill_by_port¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
185¿CallExpression¿¿301¿¿¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":46},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿CallExpression
186¿Identifier¿¿301¿require¿¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
187¿Literal¿string¿301¿¿'kill-by-port'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Literal
188¿VariableDeclarator¿¿301¿fs¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
189¿CallExpression¿¿301¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿CallExpression
190¿Identifier¿¿301¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
191¿Literal¿string¿301¿¿'fs'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Literal
192¿VariableDeclarator¿¿301¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
193¿Literal¿string¿301¿¿'./kill-by-port'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Literal
194¿TryStatement¿¿301¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿TryStatement
195¿VariableDeclarator¿¿301¿v16¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
196¿CallExpression¿¿301¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿CallExpression
197¿MemberExpression¿¿301¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿MemberExpression
198¿Identifier¿¿301¿fs¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
199¿Identifier¿¿301¿existsSync¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
200¿Identifier¿¿301¿path¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿Identifier
201¿IfStatement¿¿301¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":10,"column":5},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿IfStatement
202¿Identifier¿¿301¿v16¿¿¿¿¿Identifier
203¿VariableDeclarator¿¿301¿v17¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿VariableDeclarator
204¿CallExpression¿¿301¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/MDP/Js_files/command-injection/kill-by-port_0.0.1/kill-by-port.test.js"}¿¿CallExpression
